decision_id,assignment_rank,is_primary,parse_status,isic_code,isic_level,description,section,section_description,division,division_description,group,group_description,reference_version,source_token
United Kingdom_52,1,1,MATCHED,K,SECTION,Financial and insurance activities,K,Financial and insurance activities,,,,,3de77d05ace5,K
United Kingdom_51,1,1,MATCHED,5320,CLASS,Courier activities,H,Transportation and storage,53,Postal and courier activities,532,Courier activities,3de77d05ace5,5320
United Kingdom_47,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_49,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
United Kingdom_50,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
United Kingdom_54,,0,UNRECOGNIZED,UNCLEAR,UNKNOWN,,,,,,,,3de77d05ace5,UNCLEAR
United Kingdom_55,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
United Kingdom_59,1,1,MATCHED,6499,CLASS,"Other financial service activities, except insurance and pension funding activities, n.e.c.",K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",649,"Other financial service activities, except insurance and pension funding activities",3de77d05ace5,6499
United Kingdom_56,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_61,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_60,1,1,MATCHED,6910,CLASS,Legal activities,M,"Professional, scientific and technical activities",69,Legal and accounting activities,691,Legal activities,3de77d05ace5,6910
United Kingdom_57,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
United Kingdom_63,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
United Kingdom_62,1,1,MATCHED,45,DIVISION,Wholesale and retail trade and repair of motor vehicles and motorcycles,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,3de77d05ace5,45
Sweden_2,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_3,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_4,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_1,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Sweden_5,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_7,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Sweden_6,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_9,1,1,MATCHED,P,SECTION,Education,P,Education,,,,,3de77d05ace5,P
Sweden_10,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Sweden_11,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_12,1,1,MATCHED,476,GROUP,Retail sale of cultural and recreation goods in specialized stores,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",476,Retail sale of cultural and recreation goods in specialized stores,3de77d05ace5,476
Sweden_14,1,1,MATCHED,6810,CLASS,Real estate activities with own or leased property,L,Real estate activities,68,Real estate activities,681,Real estate activities with own or leased property,3de77d05ace5,6810
Sweden_15,1,1,MATCHED,J,SECTION,Information and communication,J,Information and communication,,,,,3de77d05ace5,J
Sweden_18,1,1,MATCHED,84,DIVISION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,,,3de77d05ace5,84
Sweden_13,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_16,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Sweden_20,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Sweden_21,,0,UNRECOGNIZED,"STRING:581 - Publishing of books, periodicals and other publishing activities",UNKNOWN,,,,,,,,3de77d05ace5,"STRING:581 - Publishing of books, periodicals and other publishing activities"
Sweden_22,1,1,MATCHED,62,DIVISION,"Computer programming, consultancy and related activities",J,Information and communication,62,"Computer programming, consultancy and related activities",,,3de77d05ace5,62
Sweden_23,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_26,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Sweden_24,1,1,MATCHED,J,SECTION,Information and communication,J,Information and communication,,,,,3de77d05ace5,J
Sweden_27,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_30,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
Sweden_31,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Sweden_33,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
Sweden_29,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_32,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Sweden_36,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
Sweden_34,1,1,MATCHED,5813,CLASS,"Publishing of newspapers, journals and periodicals",J,Information and communication,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",3de77d05ace5,5813
Sweden_35,1,1,MATCHED,6110,CLASS,Wired telecommunications activities,J,Information and communication,61,Telecommunications,611,Wired telecommunications activities,3de77d05ace5,6110
Sweden_37,1,1,MATCHED,6512,CLASS,Non-life insurance,K,Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,3de77d05ace5,6512
Sweden_38,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
Sweden_40,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_41,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_39,1,1,MATCHED,6430,CLASS,"Trusts, funds and similar financial entities",K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",643,"Trusts, funds and similar financial entities",3de77d05ace5,6430
Sweden_44,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_42,,0,UNRECOGNIZED,STRING:K64.19,UNKNOWN,,,,,,,,3de77d05ace5,STRING:K64.19
Sweden_43,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_46,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_45,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_47,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Sweden_48,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Sweden_49,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Sweden_50,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_1,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Sweden_54,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Sweden_57,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Sweden_52,1,1,MATCHED,631,GROUP,"Data processing, hosting and related activities; web portals",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,631
Sweden_51,1,1,MATCHED,8020,CLASS,Security systems service activities,N,Administrative and support service activities,80,Security and investigation activities,802,Security systems service activities,3de77d05ace5,8020
Sweden_53,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Spain_3,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_2,1,1,MATCHED,84,DIVISION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,,,3de77d05ace5,84
Spain_4,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Spain_6,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_5,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_7,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Spain_8,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_9,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_10,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Spain_12,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_11,1,1,MATCHED,S,SECTION,Other service activities,S,Other service activities,,,,,3de77d05ace5,S
Spain_15,,0,UNRECOGNIZED,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,UNKNOWN,,,,,,,,3de77d05ace5,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
Spain_13,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_16,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Spain_14,1,1,MATCHED,6399,CLASS,Other information service activities n.e.c.,J,Information and communication,63,Information service activities,639,Other information service activities,3de77d05ace5,6399
Spain_17,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_18,1,1,MATCHED,4711,CLASS,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",471,Retail sale in non-specialized stores,3de77d05ace5,4711
Spain_19,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_20,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_21,1,1,MATCHED,6312,CLASS,Web portals,J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6312
Spain_22,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_23,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_25,1,1,MATCHED,9311,CLASS,Operation of sports facilities,R,"Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,931,Sports activities,3de77d05ace5,9311
Spain_24,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Spain_26,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_27,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
Spain_28,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_30,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_32,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Spain_29,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Spain_31,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Spain_33,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_35,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Spain_34,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_36,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_38,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_40,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_41,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_37,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_42,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_43,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_45,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_47,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_48,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_51,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_49,1,1,MATCHED,351,GROUP,"Electric power generation, transmission and distribution",D,"Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",351,"Electric power generation, transmission and distribution",3de77d05ace5,351
Spain_46,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_52,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_50,1,1,MATCHED,68,DIVISION,Real estate activities,L,Real estate activities,68,Real estate activities,,,3de77d05ace5,68
Spain_53,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_56,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_55,1,1,MATCHED,6920,CLASS,"Accounting, bookkeeping and auditing activities; tax consultancy",M,"Professional, scientific and technical activities",69,Legal and accounting activities,692,"Accounting, bookkeeping and auditing activities; tax consultancy",3de77d05ace5,6920
Spain_54,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_57,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_58,1,1,MATCHED,4649,CLASS,Wholesale of other household goods,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,46,"Wholesale trade, except of motor vehicles and motorcycles",464,Wholesale of household goods,3de77d05ace5,4649
Spain_59,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_61,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_60,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_62,1,1,MATCHED,61,DIVISION,Telecommunications,J,Information and communication,61,Telecommunications,,,3de77d05ace5,61
Spain_63,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_64,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_65,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_66,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_67,1,1,MATCHED,94,DIVISION,Activities of membership organizations,S,Other service activities,94,Activities of membership organizations,,,3de77d05ace5,94
Spain_69,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_71,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_70,1,1,MATCHED,8542,CLASS,Cultural education,P,Education,85,Education,854,Other education,3de77d05ace5,8542
Spain_68,1,1,MATCHED,6512,CLASS,Non-life insurance,K,Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,3de77d05ace5,6512
Spain_73,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_74,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_72,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_77,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_75,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_81,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_78,1,1,MATCHED,8230,CLASS,Organization of conventions and trade shows,N,Administrative and support service activities,82,"Office administrative, office support and other business support activities",823,Organization of conventions and trade shows,3de77d05ace5,8230
Spain_76,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_82,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Spain_80,1,1,MATCHED,9412,CLASS,Activities of professional membership organizations,S,Other service activities,94,Activities of membership organizations,941,"Activities of business, employers and professional membership organizations",3de77d05ace5,9412
Spain_83,,0,UNRECOGNIZED,Q (Human health and social work activities),UNKNOWN,,,,,,,,3de77d05ace5,Q (Human health and social work activities)
Spain_85,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_84,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_87,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_86,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
Spain_88,1,1,MATCHED,8610,CLASS,Hospital activities,Q,Human health and social work activities,86,Human health activities,861,Hospital activities,3de77d05ace5,8610
Spain_91,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_93,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Spain_89,1,1,MATCHED,620,GROUP,"Computer programming, consultancy and related activities",J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,620
Spain_90,1,1,MATCHED,6512,CLASS,Non-life insurance,K,Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,3de77d05ace5,6512
Spain_94,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_95,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Spain_92,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
