nodeId,decision_id,type,year,fine_eur,breach_case
decision_United Kingdom_54,United Kingdom_54,Decision,,0.0,0
decision_United Kingdom_55,United Kingdom_55,Decision,,0.0,1
decision_United Kingdom_59,United Kingdom_59,Decision,2022.0,50000.0,0
decision_United Kingdom_56,United Kingdom_56,Decision,,85000.0,0
decision_United Kingdom_61,United Kingdom_61,Decision,,,0
decision_United Kingdom_60,United Kingdom_60,Decision,2022.0,98000.0,1
decision_United Kingdom_57,United Kingdom_57,Decision,2024.0,7500.0,1
decision_United Kingdom_63,United Kingdom_63,Decision,,,0
decision_United Kingdom_62,United Kingdom_62,Decision,2021.0,200000.0,0
decision_Sweden_2,Sweden_2,Decision,2020.0,4000000.0,0
decision_Sweden_3,Sweden_3,Decision,2020.0,3500000.0,0
decision_Sweden_4,Sweden_4,Decision,2020.0,2500000.0,0
decision_Sweden_1,Sweden_1,Decision,2020.0,75000000.0,0
decision_United Kingdom_58,United Kingdom_58,Decision,,,0
decision_Sweden_5,Sweden_5,Decision,,,0
decision_Sweden_7,Sweden_7,Decision,2020.0,4000000.0,1
decision_Sweden_6,Sweden_6,Decision,,,0
decision_Sweden_8,Sweden_8,Decision,,,0
decision_Sweden_9,Sweden_9,Decision,2020.0,550000.0,1
decision_Sweden_10,Sweden_10,Decision,,120000.0,0
decision_Sweden_11,Sweden_11,Decision,,300000.0,0
decision_Sweden_12,Sweden_12,Decision,2023.0,0.0,0
decision_Sweden_14,Sweden_14,Decision,2024.0,200000.0,0
decision_Sweden_15,Sweden_15,Decision,2025.0,0.0,0
decision_Sweden_18,Sweden_18,Decision,2021.0,350000.0,0
decision_Sweden_13,Sweden_13,Decision,,0.0,0
decision_Sweden_16,Sweden_16,Decision,2024.0,0.0,0
decision_Sweden_20,Sweden_20,Decision,2022.0,7500000.0,0
decision_Sweden_21,Sweden_21,Decision,,0.0,0
decision_Sweden_22,Sweden_22,Decision,2023.0,58000000.0,0
decision_Sweden_23,Sweden_23,Decision,2022.0,300000.0,1
decision_Sweden_26,Sweden_26,Decision,2021.0,0.0,0
decision_Sweden_24,Sweden_24,Decision,2023.0,13000000.0,0
decision_Sweden_27,Sweden_27,Decision,2021.0,0.0,0
decision_Sweden_30,Sweden_30,Decision,2023.0,0.0,0
decision_Sweden_31,Sweden_31,Decision,2021.0,0.0,0
decision_Sweden_33,Sweden_33,Decision,2023.0,0.0,0
decision_Sweden_29,Sweden_29,Decision,,0.0,0
decision_Sweden_32,Sweden_32,Decision,,,0
decision_Sweden_36,Sweden_36,Decision,2023.0,300000.0,0
decision_Sweden_34,Sweden_34,Decision,2023.0,0.0,0
decision_Sweden_35,Sweden_35,Decision,2023.0,12000000.0,0
decision_Sweden_37,Sweden_37,Decision,2023.0,35000000.0,1
decision_Sweden_38,Sweden_38,Decision,2022.0,0.0,0
decision_Sweden_40,Sweden_40,Decision,,0.0,0
decision_Sweden_41,Sweden_41,Decision,2022.0,0.0,0
decision_Sweden_39,Sweden_39,Decision,,500000.0,0
decision_Sweden_44,Sweden_44,Decision,,0.0,0
decision_Sweden_42,Sweden_42,Decision,,15000000.0,0
decision_Sweden_43,Sweden_43,Decision,,,0
decision_Sweden_46,Sweden_46,Decision,,,0
decision_Sweden_45,Sweden_45,Decision,,,0
decision_Sweden_47,Sweden_47,Decision,2022.0,0.0,0
decision_Sweden_48,Sweden_48,Decision,2022.0,0.0,0
decision_Sweden_49,Sweden_49,Decision,,,0
decision_Sweden_50,Sweden_50,Decision,,,0
decision_Spain_1,Spain_1,Decision,,0.0,0
decision_Sweden_54,Sweden_54,Decision,,0.0,0
decision_Sweden_57,Sweden_57,Decision,2023.0,0.0,0
decision_Sweden_52,Sweden_52,Decision,2022.0,0.0,0
decision_Sweden_51,Sweden_51,Decision,,,0
decision_Sweden_53,Sweden_53,Decision,,,0
decision_Spain_3,Spain_3,Decision,,0.0,0
decision_Spain_2,Spain_2,Decision,,0.0,0
decision_Spain_4,Spain_4,Decision,,21000.0,1
decision_Spain_6,Spain_6,Decision,,0.0,0
decision_Spain_5,Spain_5,Decision,,0.0,0
decision_Spain_7,Spain_7,Decision,,0.0,0
decision_Spain_8,Spain_8,Decision,,0.0,0
decision_Spain_9,Spain_9,Decision,,0.0,0
decision_Spain_10,Spain_10,Decision,,0.0,0
decision_Spain_12,Spain_12,Decision,,0.0,0
decision_Spain_11,Spain_11,Decision,,0.0,1
decision_Spain_15,Spain_15,Decision,,0.0,0
decision_Spain_13,Spain_13,Decision,,0.0,0
decision_Spain_16,Spain_16,Decision,,0.0,0
decision_Spain_14,Spain_14,Decision,,0.0,0
decision_Spain_17,Spain_17,Decision,,0.0,0
decision_Spain_18,Spain_18,Decision,,0.0,0
decision_Spain_19,Spain_19,Decision,,0.0,0
decision_Spain_20,Spain_20,Decision,,0.0,0
decision_Spain_21,Spain_21,Decision,,0.0,0
decision_Spain_22,Spain_22,Decision,,0.0,1
decision_Spain_23,Spain_23,Decision,,,0
decision_Spain_25,Spain_25,Decision,,0.0,1
decision_Spain_24,Spain_24,Decision,,0.0,0
decision_Spain_26,Spain_26,Decision,,0.0,1
decision_Spain_27,Spain_27,Decision,,0.0,1
decision_Spain_28,Spain_28,Decision,,0.0,0
decision_Spain_30,Spain_30,Decision,,0.0,1
decision_Spain_32,Spain_32,Decision,,0.0,0
decision_Spain_29,Spain_29,Decision,,0.0,1
decision_Spain_31,Spain_31,Decision,,0.0,0
decision_Spain_33,Spain_33,Decision,,0.0,0
decision_Spain_35,Spain_35,Decision,,0.0,0
decision_Spain_34,Spain_34,Decision,,0.0,0
decision_Spain_36,Spain_36,Decision,,24000.0,0
decision_Spain_38,Spain_38,Decision,,,0
decision_Spain_40,Spain_40,Decision,,1500.0,0
decision_Spain_41,Spain_41,Decision,,1500.0,1
decision_Spain_37,Spain_37,Decision,,0.0,0
decision_Spain_42,Spain_42,Decision,,12000.0,0
decision_Spain_43,Spain_43,Decision,,0.0,0
decision_Spain_45,Spain_45,Decision,,3000.0,0
decision_Spain_47,Spain_47,Decision,,5000.0,1
decision_Spain_48,Spain_48,Decision,,0.0,0
decision_Spain_51,Spain_51,Decision,,0.0,0
decision_Spain_49,Spain_49,Decision,2022.0,24000.0,0
decision_Spain_46,Spain_46,Decision,,0.0,0
decision_Spain_52,Spain_52,Decision,,0.0,0
decision_Spain_50,Spain_50,Decision,,5000.0,0
decision_Spain_53,Spain_53,Decision,,300.0,0
decision_Spain_56,Spain_56,Decision,,0.0,0
decision_Spain_55,Spain_55,Decision,,2000.0,0
decision_Spain_54,Spain_54,Decision,,56000.0,1
decision_Spain_57,Spain_57,Decision,,200000.0,0
decision_Spain_58,Spain_58,Decision,,5000.0,1
decision_Spain_59,Spain_59,Decision,,80000.0,1
decision_Spain_61,Spain_61,Decision,,10000.0,0
decision_Spain_60,Spain_60,Decision,,10000.0,0
decision_Spain_62,Spain_62,Decision,,70000.0,0
decision_Spain_63,Spain_63,Decision,,10000.0,0
decision_Spain_64,Spain_64,Decision,,70000.0,0
decision_Spain_65,Spain_65,Decision,,48000.0,0
decision_Spain_66,Spain_66,Decision,,0.0,0
decision_Spain_67,Spain_67,Decision,,17000.0,0
decision_Spain_69,Spain_69,Decision,,60000.0,0
decision_Spain_71,Spain_71,Decision,,0.0,1
decision_Spain_70,Spain_70,Decision,,0.0,0
decision_Spain_68,Spain_68,Decision,,24000.0,0
decision_Spain_73,Spain_73,Decision,,0.0,0
decision_Spain_74,Spain_74,Decision,,48000.0,0
decision_Spain_72,Spain_72,Decision,,0.0,0
decision_Spain_77,Spain_77,Decision,,0.0,0
decision_Spain_79,Spain_79,Decision,,,0
decision_Spain_75,Spain_75,Decision,,48000.0,1
decision_Spain_81,Spain_81,Decision,,0.0,0
decision_Spain_78,Spain_78,Decision,2024.0,600000.0,0
decision_Spain_76,Spain_76,Decision,,16000.0,0
decision_Spain_82,Spain_82,Decision,,70000.0,0
decision_Spain_80,Spain_80,Decision,,14000.0,0
decision_Spain_83,Spain_83,Decision,,0.0,0
decision_Spain_85,Spain_85,Decision,,1000.0,0
decision_Spain_84,Spain_84,Decision,,0.0,0
decision_Spain_87,Spain_87,Decision,,0.0,0
decision_Spain_86,Spain_86,Decision,,1200.0,0
decision_Spain_88,Spain_88,Decision,2024.0,30000.0,0
decision_Spain_91,Spain_91,Decision,,5000.0,0
decision_Spain_93,Spain_93,Decision,,24000.0,0
decision_Spain_89,Spain_89,Decision,2024.0,15000.0,0
decision_Spain_90,Spain_90,Decision,2024.0,300000.0,0
decision_Spain_94,Spain_94,Decision,,0.0,0
decision_Spain_95,Spain_95,Decision,,0.0,0
decision_Spain_92,Spain_92,Decision,,0.0,0
decision_Spain_96,Spain_96,Decision,,0.0,0
decision_Spain_98,Spain_98,Decision,,0.0,0
decision_Spain_99,Spain_99,Decision,,0.0,0
decision_Spain_100,Spain_100,Decision,,6000.0,0
decision_Spain_97,Spain_97,Decision,,365000.0,0
decision_Spain_103,Spain_103,Decision,,24000.0,0
decision_Spain_102,Spain_102,Decision,,0.0,0
decision_Spain_101,Spain_101,Decision,,56000.0,0
decision_Spain_107,Spain_107,Decision,,30000.0,0
decision_Spain_105,Spain_105,Decision,,0.0,0
decision_Spain_106,Spain_106,Decision,,2000.0,0
decision_Spain_104,Spain_104,Decision,,56000.0,0
decision_Spain_108,Spain_108,Decision,,0.0,1
decision_Spain_110,Spain_110,Decision,,10000.0,0
decision_Spain_111,Spain_111,Decision,,0.0,0
decision_Spain_109,Spain_109,Decision,,3000.0,0
decision_Spain_112,Spain_112,Decision,,8000.0,0
decision_Spain_116,Spain_116,Decision,,3000.0,0
decision_Spain_117,Spain_117,Decision,,0.0,0
decision_Spain_115,Spain_115,Decision,2024.0,3500000.0,1
decision_Spain_114,Spain_114,Decision,,50000.0,0
decision_Spain_119,Spain_119,Decision,,0.0,0
decision_Spain_113,Spain_113,Decision,,70000.0,0
decision_Spain_118,Spain_118,Decision,,5000.0,0
decision_Spain_121,Spain_121,Decision,,10000.0,0
decision_Spain_120,Spain_120,Decision,,70000.0,0
decision_Spain_122,Spain_122,Decision,,7000.0,0
decision_Spain_124,Spain_124,Decision,,300.0,0
decision_Spain_126,Spain_126,Decision,,80000.0,0
decision_Spain_125,Spain_125,Decision,,50000.0,0
decision_Spain_127,Spain_127,Decision,,5000.0,0
decision_Spain_123,Spain_123,Decision,,2000.0,0
decision_Spain_130,Spain_130,Decision,,0.0,0
decision_Spain_129,Spain_129,Decision,,4000.0,0
decision_Spain_128,Spain_128,Decision,,0.0,0
decision_Spain_133,Spain_133,Decision,,0.0,0
decision_Spain_131,Spain_131,Decision,,3000.0,0
decision_Spain_132,Spain_132,Decision,,20000.0,0
decision_Spain_134,Spain_134,Decision,,72000.0,0
decision_Spain_137,Spain_137,Decision,,300.0,0
decision_Spain_135,Spain_135,Decision,,600.0,0
decision_Spain_136,Spain_136,Decision,,8000.0,0
decision_Spain_138,Spain_138,Decision,,1500.0,0
decision_Spain_139,Spain_139,Decision,,1200.0,1
decision_Spain_141,Spain_141,Decision,,0.0,0
decision_Spain_140,Spain_140,Decision,2024.0,250000.0,0
decision_Spain_142,Spain_142,Decision,,200000.0,0
decision_Spain_143,Spain_143,Decision,,300.0,0
decision_Spain_144,Spain_144,Decision,,0.0,0
decision_Spain_146,Spain_146,Decision,,10000.0,0
decision_Spain_147,Spain_147,Decision,,10000.0,0
decision_Spain_149,Spain_149,Decision,,12000.0,0
decision_Spain_151,Spain_151,Decision,2024.0,200000.0,0
decision_Spain_150,Spain_150,Decision,2024.0,220000.0,0
decision_Spain_152,Spain_152,Decision,2024.0,1200000.0,0
decision_Spain_154,Spain_154,Decision,2024.0,3500000.0,1
decision_Spain_153,Spain_153,Decision,,120000.0,0
decision_Spain_155,Spain_155,Decision,,1600000.0,0
decision_Spain_156,Spain_156,Decision,,4000000.0,0
decision_Spain_158,Spain_158,Decision,,10000.0,0
decision_Spain_157,Spain_157,Decision,,120000.0,0
decision_Spain_160,Spain_160,Decision,,1200000.0,0
decision_Spain_159,Spain_159,Decision,,42000.0,0
decision_Spain_162,Spain_162,Decision,,0.0,0
decision_Spain_161,Spain_161,Decision,,200000.0,1
decision_Spain_164,Spain_164,Decision,,0.0,0
decision_Spain_165,Spain_165,Decision,,200000.0,0
decision_Spain_167,Spain_167,Decision,,,0
decision_Spain_163,Spain_163,Decision,,70000.0,0
decision_Spain_168,Spain_168,Decision,,0.0,1
decision_Spain_169,Spain_169,Decision,,3000.0,0
decision_Spain_166,Spain_166,Decision,,180000.0,0
decision_Spain_174,Spain_174,Decision,,70000.0,1
decision_Spain_173,Spain_173,Decision,,48000.0,0
decision_Spain_171,Spain_171,Decision,,120000.0,0
decision_Spain_172,Spain_172,Decision,,180000.0,0
decision_Spain_170,Spain_170,Decision,,,0
decision_Spain_179,Spain_179,Decision,,20000.0,0
decision_Spain_178,Spain_178,Decision,,100000.0,0
decision_Spain_177,Spain_177,Decision,2024.0,270000.0,1
decision_Spain_175,Spain_175,Decision,,72000.0,0
decision_Spain_176,Spain_176,Decision,,360000.0,0
decision_Spain_181,Spain_181,Decision,,120000.0,0
decision_Spain_187,Spain_187,Decision,,0.0,0
decision_Spain_180,Spain_180,Decision,2024.0,42000.0,0
decision_Spain_182,Spain_182,Decision,2024.0,3000000.0,1
decision_Spain_186,Spain_186,Decision,2023.0,0.0,0
decision_Spain_185,Spain_185,Decision,,60000.0,0
decision_Spain_188,Spain_188,Decision,,500000.0,0
decision_Spain_189,Spain_189,Decision,,7500.0,0
decision_Spain_183,Spain_183,Decision,,,0
decision_Spain_190,Spain_190,Decision,,500.0,0
decision_Spain_191,Spain_191,Decision,,12000.0,0
decision_Spain_194,Spain_194,Decision,,2000.0,0
decision_Spain_192,Spain_192,Decision,2024.0,200000.0,0
decision_Spain_193,Spain_193,Decision,,100000.0,0
decision_Spain_196,Spain_196,Decision,,0.0,0
decision_Spain_195,Spain_195,Decision,,10000.0,0
decision_Spain_200,Spain_200,Decision,,2000.0,0
decision_Spain_199,Spain_199,Decision,2024.0,600.0,0
decision_Spain_197,Spain_197,Decision,,,0
decision_Spain_198,Spain_198,Decision,,15000.0,0
decision_Spain_202,Spain_202,Decision,,0.0,0
decision_Spain_201,Spain_201,Decision,,3000.0,0
decision_Spain_203,Spain_203,Decision,,4000.0,0
decision_Spain_206,Spain_206,Decision,2024.0,5000.0,0
decision_Spain_205,Spain_205,Decision,,60000.0,1
decision_Spain_204,Spain_204,Decision,,12000.0,0
decision_Spain_208,Spain_208,Decision,,56000.0,0
decision_Spain_207,Spain_207,Decision,,96000.0,0
decision_Spain_209,Spain_209,Decision,,1200.0,0
decision_Spain_210,Spain_210,Decision,,200000.0,0
decision_Spain_212,Spain_212,Decision,,30000.0,0
decision_Spain_211,Spain_211,Decision,,24000.0,0
decision_Spain_214,Spain_214,Decision,,0.0,0
decision_Spain_215,Spain_215,Decision,2024.0,180000.0,0
decision_Spain_219,Spain_219,Decision,,,0
decision_Spain_216,Spain_216,Decision,,1200.0,0
decision_Spain_217,Spain_217,Decision,,150000.0,0
decision_Spain_220,Spain_220,Decision,,500.0,0
decision_Spain_218,Spain_218,Decision,,200000.0,0
decision_Spain_221,Spain_221,Decision,,4000.0,0
decision_Spain_222,Spain_222,Decision,2024.0,120000.0,0
decision_Spain_224,Spain_224,Decision,,10000.0,0
decision_Spain_225,Spain_225,Decision,,100000.0,0
decision_Spain_228,Spain_228,Decision,,1000.0,0
decision_Spain_227,Spain_227,Decision,,30000.0,0
decision_Spain_226,Spain_226,Decision,,96000.0,0
decision_Spain_230,Spain_230,Decision,,600.0,0
decision_Spain_231,Spain_231,Decision,,18000.0,1
decision_Spain_232,Spain_232,Decision,,10000.0,0
decision_Spain_233,Spain_233,Decision,,120000.0,0
decision_Spain_235,Spain_235,Decision,,600.0,1
decision_Spain_237,Spain_237,Decision,,42000.0,1
decision_Spain_240,Spain_240,Decision,,0.0,0
decision_Spain_238,Spain_238,Decision,,0.0,0
decision_Spain_239,Spain_239,Decision,,12000.0,0
decision_Spain_236,Spain_236,Decision,,180000.0,0
decision_Spain_241,Spain_241,Decision,,4000.0,0
decision_Spain_243,Spain_243,Decision,,900.0,0
decision_Spain_242,Spain_242,Decision,,240000.0,0
decision_Spain_244,Spain_244,Decision,,0.0,0
decision_Spain_245,Spain_245,Decision,,0.0,0
decision_Spain_247,Spain_247,Decision,,6000.0,0
decision_Spain_246,Spain_246,Decision,,0.0,0
decision_Spain_250,Spain_250,Decision,,0.0,0
decision_Spain_248,Spain_248,Decision,,48000.0,0
decision_Spain_249,Spain_249,Decision,,70000.0,0
decision_Spain_252,Spain_252,Decision,,0.0,0
decision_Spain_251,Spain_251,Decision,,75000.0,0
decision_Spain_253,Spain_253,Decision,,0.0,0
decision_Spain_254,Spain_254,Decision,,0.0,0
decision_Spain_255,Spain_255,Decision,,75000.0,0
decision_Spain_259,Spain_259,Decision,,4000.0,0
decision_Spain_258,Spain_258,Decision,,0.0,0
decision_Spain_260,Spain_260,Decision,,,0
decision_Spain_256,Spain_256,Decision,,24000.0,0
decision_Spain_261,Spain_261,Decision,,24000.0,0
decision_Spain_262,Spain_262,Decision,,0.0,1
decision_Spain_257,Spain_257,Decision,,,0
decision_Spain_263,Spain_263,Decision,,1000.0,0
decision_Spain_264,Spain_264,Decision,,100000.0,0
decision_Spain_265,Spain_265,Decision,2020.0,1200.0,0
decision_Spain_266,Spain_266,Decision,,10000.0,0
decision_Spain_267,Spain_267,Decision,,3000.0,0
decision_Spain_269,Spain_269,Decision,,0.0,0
decision_Spain_270,Spain_270,Decision,,,0
decision_Spain_268,Spain_268,Decision,,1500000.0,0
decision_Spain_272,Spain_272,Decision,,0.0,0
decision_Spain_271,Spain_271,Decision,,500.0,0
decision_Spain_273,Spain_273,Decision,,0.0,1
decision_Spain_274,Spain_274,Decision,,0.0,0
decision_Spain_275,Spain_275,Decision,2021.0,16000.0,0
decision_Spain_276,Spain_276,Decision,,1500.0,0
decision_Spain_278,Spain_278,Decision,,,0
decision_Spain_280,Spain_280,Decision,,0.0,0
decision_Spain_281,Spain_281,Decision,,6000.0,0
decision_Spain_279,Spain_279,Decision,,3000.0,1
decision_Spain_282,Spain_282,Decision,,5000.0,0
decision_Spain_277,Spain_277,Decision,,0.0,0
decision_Spain_288,Spain_288,Decision,,0.0,0
decision_Spain_284,Spain_284,Decision,,,0
decision_Spain_286,Spain_286,Decision,,,0
decision_Spain_289,Spain_289,Decision,,0.0,0
decision_Spain_283,Spain_283,Decision,,8150000.0,0
decision_Spain_287,Spain_287,Decision,,0.0,1
decision_Spain_285,Spain_285,Decision,,1000.0,0
decision_Spain_296,Spain_296,Decision,,3000.0,0
decision_Spain_290,Spain_290,Decision,,18000.0,0
decision_Spain_297,Spain_297,Decision,,0.0,0
decision_Spain_291,Spain_291,Decision,,0.0,0
decision_Spain_292,Spain_292,Decision,,60000.0,0
decision_Spain_294,Spain_294,Decision,,0.0,0
decision_Spain_293,Spain_293,Decision,2021.0,5000000.0,0
decision_Spain_295,Spain_295,Decision,,0.0,0
decision_Spain_298,Spain_298,Decision,,0.0,0
decision_Spain_300,Spain_300,Decision,,60000.0,0
decision_Spain_299,Spain_299,Decision,,30000.0,0
decision_Spain_303,Spain_303,Decision,,90000.0,0
decision_Spain_301,Spain_301,Decision,,132000.0,0
decision_Spain_302,Spain_302,Decision,2020.0,0.0,0
decision_Spain_304,Spain_304,Decision,,0.0,0
decision_Spain_305,Spain_305,Decision,,0.0,0
decision_Spain_309,Spain_309,Decision,,0.0,1
decision_Spain_306,Spain_306,Decision,,3000.0,0
decision_Spain_312,Spain_312,Decision,,1800.0,0
decision_Spain_307,Spain_307,Decision,,3000.0,0
decision_Spain_308,Spain_308,Decision,,44000.0,0
decision_Spain_311,Spain_311,Decision,,35000.0,0
decision_Spain_310,Spain_310,Decision,,,0
decision_Spain_313,Spain_313,Decision,,0.0,0
decision_Spain_314,Spain_314,Decision,,24000.0,1
decision_Spain_315,Spain_315,Decision,,4000.0,0
decision_Spain_320,Spain_320,Decision,,0.0,0
decision_Spain_318,Spain_318,Decision,2021.0,40000.0,1
decision_Spain_317,Spain_317,Decision,,0.0,0
decision_Spain_316,Spain_316,Decision,,33000.0,0
decision_Spain_319,Spain_319,Decision,,0.0,0
decision_Spain_321,Spain_321,Decision,,55000.0,0
decision_Spain_323,Spain_323,Decision,,2000.0,0
decision_Spain_325,Spain_325,Decision,,0.0,0
decision_Spain_322,Spain_322,Decision,,3000.0,0
decision_Spain_327,Spain_327,Decision,,0.0,0
decision_Spain_324,Spain_324,Decision,,9000.0,0
decision_Spain_326,Spain_326,Decision,,2520000.0,0
decision_Spain_328,Spain_328,Decision,,6000.0,0
decision_Spain_329,Spain_329,Decision,,0.0,0
decision_Spain_332,Spain_332,Decision,,0.0,0
decision_Spain_330,Spain_330,Decision,,0.0,0
decision_Spain_331,Spain_331,Decision,,0.0,0
decision_Spain_334,Spain_334,Decision,,50000.0,0
decision_Spain_335,Spain_335,Decision,,1800.0,0
decision_Spain_333,Spain_333,Decision,,0.0,0
decision_Spain_336,Spain_336,Decision,,0.0,0
decision_Spain_340,Spain_340,Decision,,9000.0,0
decision_Spain_337,Spain_337,Decision,,3000.0,0
decision_Spain_341,Spain_341,Decision,,20000.0,0
decision_Spain_338,Spain_338,Decision,,45000.0,0
decision_Spain_342,Spain_342,Decision,,25000.0,0
decision_Spain_343,Spain_343,Decision,,5000.0,0
decision_Spain_344,Spain_344,Decision,,0.0,0
decision_Spain_345,Spain_345,Decision,,,0
decision_Spain_346,Spain_346,Decision,,600.0,0
decision_Spain_347,Spain_347,Decision,,3000.0,0
decision_Spain_349,Spain_349,Decision,,0.0,1
decision_Spain_350,Spain_350,Decision,,3000.0,0
decision_Spain_348,Spain_348,Decision,,4200.0,0
decision_Spain_351,Spain_351,Decision,,15000.0,0
decision_Spain_352,Spain_352,Decision,,45000.0,0
decision_Spain_353,Spain_353,Decision,2020.0,0.0,0
decision_Spain_354,Spain_354,Decision,,3000.0,0
decision_Spain_355,Spain_355,Decision,,3000.0,0
decision_Spain_357,Spain_357,Decision,,2000.0,0
decision_Spain_356,Spain_356,Decision,,1200.0,0
decision_Spain_358,Spain_358,Decision,,20000.0,0
decision_Spain_360,Spain_360,Decision,,1600.0,0
decision_Spain_359,Spain_359,Decision,,600000.0,1
decision_Spain_362,Spain_362,Decision,,75000.0,0
decision_Spain_361,Spain_361,Decision,,45000.0,0
decision_Spain_365,Spain_365,Decision,,,0
decision_Spain_364,Spain_364,Decision,,3000.0,0
decision_Spain_363,Spain_363,Decision,,25000.0,0
decision_Spain_367,Spain_367,Decision,,12000.0,0
decision_Spain_366,Spain_366,Decision,,0.0,1
decision_Spain_368,Spain_368,Decision,,1800.0,0
decision_Spain_370,Spain_370,Decision,,2000.0,0
decision_Spain_369,Spain_369,Decision,,96000.0,0
decision_Spain_371,Spain_371,Decision,,56000.0,0
decision_Spain_372,Spain_372,Decision,,0.0,0
decision_Spain_373,Spain_373,Decision,,1600.0,0
decision_Spain_375,Spain_375,Decision,,30000.0,0
decision_Spain_374,Spain_374,Decision,,0.0,0
decision_Spain_376,Spain_376,Decision,,40000.0,0
decision_Spain_378,Spain_378,Decision,,200000.0,0
decision_Spain_377,Spain_377,Decision,,1600.0,0
decision_Spain_379,Spain_379,Decision,,0.0,0
decision_Spain_381,Spain_381,Decision,,0.0,0
decision_Spain_380,Spain_380,Decision,,45000.0,0
decision_Spain_382,Spain_382,Decision,,3000.0,0
decision_Spain_383,Spain_383,Decision,,2000.0,0
decision_Spain_384,Spain_384,Decision,,0.0,0
decision_Spain_387,Spain_387,Decision,,20000.0,0
decision_Spain_389,Spain_389,Decision,,48000.0,1
decision_Spain_388,Spain_388,Decision,,5000.0,0
decision_Spain_385,Spain_385,Decision,,6000.0,0
decision_Spain_386,Spain_386,Decision,,50000.0,0
decision_Spain_391,Spain_391,Decision,,1200.0,0
decision_Spain_390,Spain_390,Decision,,40000.0,0
decision_Spain_392,Spain_392,Decision,,36000.0,0
decision_Spain_393,Spain_393,Decision,,100000.0,0
decision_Spain_394,Spain_394,Decision,,0.0,0
decision_Spain_396,Spain_396,Decision,,1500.0,0
decision_Spain_397,Spain_397,Decision,,2100000.0,0
decision_Spain_395,Spain_395,Decision,,80000.0,0
decision_Spain_398,Spain_398,Decision,,60000.0,0
decision_Spain_406,Spain_406,Decision,2021.0,,0
decision_Spain_401,Spain_401,Decision,,7800.0,0
decision_Spain_400,Spain_400,Decision,,50000.0,0
decision_Spain_402,Spain_402,Decision,,120000.0,0
decision_Spain_399,Spain_399,Decision,,12000.0,0
decision_Spain_405,Spain_405,Decision,,15000.0,0
decision_Spain_403,Spain_403,Decision,,75000.0,0
decision_Spain_404,Spain_404,Decision,2021.0,1500000.0,0
decision_Spain_408,Spain_408,Decision,,5000.0,0
decision_Spain_410,Spain_410,Decision,,3000.0,0
decision_Spain_409,Spain_409,Decision,,,0
decision_Spain_411,Spain_411,Decision,,4000.0,0
decision_Spain_417,Spain_417,Decision,,0.0,1
decision_Spain_412,Spain_412,Decision,,1800.0,0
