decision_id,fine_imposed,fine_amount_log,fine_category,severe_measures,remedy_only,article5_violation,rights_violation,enforcement_outcome,fine_amount_log_missing
Spain_601,0,0.0,0,0,1,0,1,0,0
Italy_259,1,8.853808274977197,1,1,0,1,1,2,0
Iceland_29,0,0.0,0,0,0,0,1,0,0
Italy_261,1,15.424948670398354,4,1,0,1,1,2,0
Spain_389,1,10.778977123006351,2,1,0,1,0,2,0
Spain_288,0,0.0,0,1,1,1,1,1,0
Netherlands_3,1,13.527829818844937,3,1,0,1,1,2,0
Italy_215,1,14.845130332288226,4,1,0,1,1,2,0
Iceland_31,0,0.0,0,0,0,0,1,0,0
Spain_566,1,11.225256725762893,2,1,0,1,1,2,0
Spain_383,1,7.601402334583733,1,1,0,1,1,2,0
Hungary_32,1,8.962007209588313,1,1,0,1,1,2,0
Finland_41,0,0.0,0,1,1,1,1,1,0
Lithuania_10,1,9.90353755128617,2,1,0,1,1,2,0
United Kingdom_21,1,9.955178267941482,2,1,0,1,0,2,0
Greece_109,0,,-1,0,1,1,1,0,1
Slovenia_73,0,0.0,0,0,0,0,1,0,0
Spain_511,1,8.006700845440367,1,1,0,1,0,2,0
Romania_117,1,1.3827480804932308,1,1,0,1,1,2,0
Poland_57,1,8.93508213639452,1,1,0,1,1,2,0
Italy_92,0,0.0,0,1,1,1,1,1,0
Poland_46,1,6.272877006546167,1,1,0,1,0,2,0
Italy_37,1,8.987321812850125,1,1,0,1,1,2,0
Sweden_11,1,10.169728906753061,2,1,0,0,0,2,0
Spain_51,0,0.0,0,0,0,0,1,0,0
Spain_424,1,7.313886831633462,1,1,0,1,1,2,0
Romania_175,0,0.0,0,1,1,1,1,1,0
Italy_146,0,0.0,0,1,1,1,1,1,0
Spain_163,1,11.156264806643742,2,1,0,1,1,2,0
Malta_11,0,0.0,0,0,1,1,1,0,0
Greece_89,1,8.987321812850125,1,1,0,1,1,2,0
Greece_83,1,9.90353755128617,2,0,0,0,1,1,0
Luxembourg_8,1,7.313886831633462,1,1,0,1,1,2,0
Spain_546,1,11.225256725762893,2,1,0,1,1,2,0
Norway_12,1,9.093918908958932,1,0,0,0,0,1,0
Italy_126,1,7.824445930877619,1,1,0,0,1,2,0
Romania_96,1,1.0887100899899032,1,1,1,0,1,2,0
Romania_4,1,7.990414321968981,1,1,0,1,1,2,0
Spain_326,1,14.962913328262083,4,1,0,1,1,2,0
Italy_258,1,8.294299608857235,1,1,0,1,1,2,0
Spain_69,1,11.002116507732017,2,1,0,1,1,2,0
Hungary_31,0,0.0,0,1,1,1,1,1,0
Luxembourg_16,0,,-1,0,0,0,1,0,1
Finland_34,1,8.77971129020447,1,1,0,1,1,2,0
Romania_101,1,8.021190496541886,1,1,0,1,1,2,0
Spain_59,1,11.289794413577894,2,1,0,1,0,2,0
Germany_18,0,0.0,0,1,1,1,1,1,0
Spain_294,0,0.0,0,1,1,1,1,1,0
Luxembourg_22,1,9.798182590890704,2,1,0,1,1,2,0
Spain_602,0,0.0,0,0,1,0,1,0,0
Spain_464,1,9.210440366976517,1,1,0,1,0,2,0
Luxembourg_11,1,8.216358332386156,1,1,0,1,1,2,0
Netherlands_37,0,0.0,0,1,1,0,1,1,0
Romania_99,1,6.90875477931522,1,1,0,1,1,2,0
Norway_71,1,12.782688818818986,3,1,0,1,0,2,0
Hungary_7,1,13.304686600863562,3,1,0,1,1,2,0
Slovenia_6,0,,-1,0,0,0,1,0,1
Greece_116,1,11.225256725762893,2,1,0,1,1,2,0
Luxembourg_4,1,7.937731775260109,1,1,0,1,1,2,0
Slovenia_38,0,0.0,0,0,0,0,1,0,0
Italy_100,1,8.006700845440367,1,1,0,1,1,2,0
Spain_479,1,10.308985993422082,2,1,0,1,1,2,0
Spain_107,1,10.308985993422082,2,1,0,1,1,2,0
United Kingdom_44,1,14.27261953233582,4,1,0,1,1,2,0
Norway_42,1,10.703266939811954,2,1,0,1,1,2,0
Netherlands_30,1,11.918397239722838,3,1,0,1,0,2,0
Italy_295,1,9.90353755128617,2,1,0,1,1,2,0
Germany_8,1,17.622173069956816,4,1,0,1,0,2,0
Romania_108,1,8.699681400989514,1,1,0,1,1,2,0
Norway_4,1,11.866402300407264,3,1,0,1,0,2,0
Spain_24,0,0.0,0,0,0,0,1,0,0
Spain_517,1,7.313886831633462,1,1,0,1,1,2,0
Spain_528,1,0.9162907318741551,1,0,0,0,1,1,0
Romania_98,1,6.90875477931522,1,1,0,1,1,2,0
Spain_416,1,8.517393171418904,1,1,0,1,1,2,0
Greece_91,1,8.517393171418904,1,1,0,1,1,2,0
Romania_162,1,9.210440366976517,1,1,0,1,1,2,0
Italy_243,1,11.225256725762893,2,1,0,1,1,2,0
Romania_25,1,5.303304908059076,1,1,1,1,1,2,0
France_57,0,0.0,0,1,1,0,1,1,0
Italy_149,0,0.0,0,1,1,1,0,1,0
Slovenia_47,0,0.0,0,0,0,0,1,0,0
Greece_65,0,,-1,0,0,0,0,0,1
Romania_64,1,8.294299608857235,1,0,0,0,0,1,0
Spain_433,1,6.90875477931522,1,1,0,0,1,2,0
Romania_115,1,8.305533448043313,1,0,0,0,0,1,0
Spain_35,0,0.0,0,0,0,0,0,0,0
Spain_527,1,1.791759469228055,1,1,0,1,1,2,0
Spain_164,0,0.0,0,0,1,0,1,0,0
Iceland_75,0,0.0,0,1,1,1,1,1,0
Iceland_41,0,0.0,0,1,1,1,0,1,0
Romania_174,0,0.0,0,1,1,1,1,1,0
Sweden_50,0,0.0,0,1,1,0,1,1,0
Italy_131,0,0.0,0,1,1,1,1,1,0
Italy_201,0,0.0,0,1,1,1,1,1,0
Italy_25,1,7.601402334583733,1,1,0,1,1,2,0
Greece_16,1,2.3978952727983707,1,1,0,1,1,2,0
Spain_285,1,6.90875477931522,1,1,0,1,1,2,0
Spain_526,1,0.9162907318741551,1,1,0,1,1,2,0
Slovenia_45,0,0.0,0,0,0,0,1,0,0
Hungary_40,1,10.165890277802454,2,1,1,1,1,2,0
Italy_227,0,0.0,0,1,1,1,1,1,0
Spain_179,1,9.90353755128617,2,1,0,0,1,2,0
Spain_487,1,9.90353755128617,2,1,0,0,1,2,0
France_45,1,15.894952224644102,4,1,0,1,1,2,0
Spain_272,0,0.0,0,1,1,1,1,1,0
Spain_188,1,13.122365377402328,3,1,0,1,0,2,0
Netherlands_5,1,13.171155446333852,3,1,0,0,1,2,0
Romania_107,1,7.58643835693126,1,1,0,1,1,2,0
Spain_604,0,0.0,0,0,0,0,1,0,0
Spain_8,0,0.0,0,0,0,0,1,0,0
Spain_189,1,8.922791623969637,1,1,0,1,1,2,0
Spain_211,1,10.085850775128717,2,1,0,1,1,2,0
Spain_359,1,13.304686600863562,3,1,0,1,0,2,0
Norway_11,1,9.499346567390095,2,1,0,1,1,2,0
Greece_70,0,0.0,0,0,0,0,0,0,0
Spain_176,1,12.793862088206213,3,1,0,1,0,2,0
Netherlands_17,1,9.392745258631441,2,1,0,1,1,2,0
Norway_20,1,11.108724557423686,2,1,0,1,0,2,0
Spain_283,1,15.910456409256991,4,1,0,1,1,2,0
Spain_344,0,0.0,0,1,1,1,1,1,0
United Kingdom_60,1,11.649735227861635,3,1,0,1,0,2,0
Romania_92,1,9.61587214452889,2,1,0,1,1,2,0
Romania_63,1,8.853808274977197,1,1,0,1,1,2,0
Slovenia_51,0,0.0,0,0,0,1,1,0,0
Spain_374,1,3.9318256327243257,1,0,1,1,1,1,0
Spain_299,1,10.308985993422082,2,1,0,1,1,2,0
Iceland_81,1,11.309596795779068,2,1,0,1,0,2,0
Lithuania_3,1,9.61587214452889,2,1,0,1,1,2,0
Greece_76,1,8.517393171418904,1,0,0,0,1,1,0
Spain_27,0,0.0,0,0,0,0,0,0,0
Portugal_1,1,12.899222326086994,3,1,0,1,1,2,0
Norway_47,1,9.093918908958932,1,1,1,1,1,2,0
Germany_36,1,6.803505257608338,1,1,0,1,1,2,0
Spain_116,1,8.006700845440367,1,1,0,1,0,2,0
Italy_78,0,0.0,0,1,1,1,0,1,0
Greece_50,0,,-1,0,0,0,1,0,1
Norway_27,1,10.010142230404668,2,1,0,1,1,2,0
Iceland_98,1,10.434145214930487,2,1,0,1,1,2,0
Greece_71,1,6.90875477931522,1,1,0,1,1,2,0
Italy_89,1,10.819798284210286,2,1,0,1,1,2,0
Spain_575,1,10.915106645867503,2,1,0,1,1,2,0
Spain_237,1,10.645448706505872,2,1,0,1,1,2,0
Hungary_54,0,0.0,0,0,0,0,1,0,0
Slovenia_37,0,0.0,0,0,0,0,1,0,0
Hungary_57,1,7.0909098220799835,1,1,0,1,1,2,0
Spain_627,0,0.0,0,1,1,1,0,1,0
Spain_419,1,9.392745258631441,2,1,0,1,1,2,0
Italy_59,1,3.044522437723423,1,1,0,1,1,2,0
Romania_91,1,9.205307729448108,1,1,0,1,1,2,0
Spain_395,1,11.51293546492023,2,1,0,0,1,2,0
Greece_110,0,,-1,0,0,0,1,0,1
Iceland_80,0,0.0,0,0,0,0,1,0,0
Spain_123,1,7.601402334583733,1,1,0,1,1,2,0
France_4,0,,-1,0,0,0,1,0,1
Poland_53,1,7.751475318021456,1,1,0,1,0,2,0
Italy_114,1,14.508658238524095,4,1,0,1,1,2,0
Norway_23,0,0.0,0,0,0,0,1,0,0
Spain_592,0,0.0,0,0,1,1,1,0,0
Spain_512,1,1.252762968495368,1,0,0,0,1,1,0
Spain_255,1,11.225256725762893,2,1,0,1,1,2,0
Spain_612,0,0.0,0,0,0,0,1,0,0
Greece_55,0,,-1,0,0,0,0,0,1
Spain_364,1,8.006700845440367,1,1,0,1,1,2,0
Italy_247,1,8.412054873292933,1,1,0,1,1,2,0
Spain_360,1,7.3783837129967145,1,1,0,0,1,2,0
Germany_14,0,0.0,0,0,0,0,1,0,0
Italy_232,1,11.51293546492023,2,1,0,1,1,2,0
Greece_79,1,3.713572066704308,1,0,0,0,0,1,0
Spain_105,0,0.0,0,1,1,1,1,1,0
Romania_113,1,7.972810784121404,1,1,0,1,1,2,0
Italy_256,1,13.815511557963774,3,1,0,1,1,2,0
Poland_40,1,7.438971592395862,1,1,0,1,0,2,0
Italy_314,0,,-1,1,1,1,1,1,1
Spain_513,1,3.9318256327243257,1,1,0,1,1,2,0
Spain_399,1,9.392745258631441,2,1,0,1,1,2,0
Spain_95,0,0.0,0,0,0,0,1,0,0
Finland_36,0,0.0,0,1,1,1,1,1,0
Spain_545,1,4.2626798770413155,1,1,0,1,1,2,0
Netherlands_31,1,15.373655386537118,4,1,0,1,1,2,0
Romania_159,1,8.695874798289596,1,1,1,1,1,2,0
Netherlands_16,1,13.017005083966255,3,1,0,1,0,2,0
Spain_306,1,8.006700845440367,1,1,0,0,1,2,0
Spain_567,1,14.914123179965662,4,1,0,1,1,2,0
Italy_284,1,8.517393171418904,1,1,0,1,1,2,0
Spain_429,0,0.0,0,1,1,1,0,1,0
Italy_22,1,6.90875477931522,1,1,0,1,1,2,0
Romania_146,1,10.239995502805316,2,1,0,1,1,2,0
Romania_58,1,7.601402334583733,1,1,0,1,1,2,0
Spain_497,1,8.699681400989514,1,1,0,1,1,2,0
Spain_40,1,7.313886831633462,1,1,0,1,1,2,0
Iceland_58,0,0.0,0,1,1,1,1,1,0
Romania_55,1,9.90353755128617,2,0,0,0,0,1,0
Iceland_4,0,0.0,0,1,1,1,1,1,0
Hungary_36,1,10.165890277802454,2,1,0,1,1,2,0
United Kingdom_25,0,0.0,0,1,1,1,0,1,0
Germany_16,0,0.0,0,1,1,1,1,1,0
Luxembourg_1,0,0.0,0,1,1,0,1,1,0
Spain_434,1,8.006700845440367,1,1,0,1,1,2,0
Romania_129,1,8.517393171418904,1,1,0,1,1,2,0
Romania_7,1,8.006700845440367,1,1,0,0,1,2,0
Italy_272,1,9.210440366976517,1,1,0,1,1,2,0
Slovenia_21,0,0.0,0,0,0,0,1,0,0
Slovenia_76,0,,-1,0,0,0,0,0,1
Romania_15,1,6.89235733680204,1,1,0,1,1,2,0
Spain_334,1,10.819798284210286,2,1,0,1,1,2,0
Spain_587,0,0.0,0,1,1,0,1,1,0
Iceland_72,0,0.0,0,1,1,1,1,1,0
Romania_167,1,7.596693614768028,1,1,1,1,1,2,0
Spain_23,0,,-1,0,0,0,1,0,1
Romania_164,1,9.611342201123678,2,1,0,1,1,2,0
Spain_291,0,0.0,0,1,1,1,1,1,0
Spain_157,1,11.695255355062795,3,1,0,1,1,2,0
Ireland_29,0,,-1,1,1,1,1,1,1
Greece_123,1,11.918397239722838,3,1,0,1,1,2,0
Spain_83,0,0.0,0,1,1,1,0,1,0
Romania_132,1,7.596291846984399,1,1,0,1,1,2,0
Finland_40,0,,-1,1,1,1,1,1,1
France_68,1,11.289794413577894,2,1,0,1,1,2,0
Hungary_18,1,12.245298166364206,3,1,0,1,1,2,0
Spain_304,0,0.0,0,1,1,1,1,1,0
Greece_64,1,1.3862943611198906,1,1,1,0,1,2,0
Greece_22,0,0.0,0,1,1,1,1,1,0
United Kingdom_40,1,12.041498664683656,3,1,0,0,1,2,0
Spain_64,1,11.156264806643742,2,1,0,1,1,2,0
Romania_51,1,6.2166061010848646,1,1,0,0,1,2,0
Ireland_18,1,11.002116507732017,2,0,0,0,0,1,0
Spain_586,0,,-1,0,0,0,0,0,1
Norway_13,1,13.005831808336863,3,1,0,1,0,2,0
Greece_1,1,6.90875477931522,1,1,0,0,1,2,0
Malta_7,1,11.082157933374816,2,1,0,1,1,2,0
Ireland_17,1,10.021315031649332,2,1,0,1,1,2,0
Spain_109,1,8.517393171418904,1,1,0,0,1,2,0
Spain_543,1,8.006700845440367,1,1,0,1,1,2,0
Italy_244,1,9.61587214452889,2,1,0,1,1,2,0
United Kingdom_29,1,11.775297421715827,3,1,0,1,1,2,0
Greece_11,0,,-1,0,0,0,1,0,1
Iceland_86,0,0.0,0,0,0,0,1,0,0
Italy_250,0,0.0,0,1,1,1,1,1,0
Hungary_15,0,0.0,0,1,1,1,1,1,0
Spain_504,0,0.0,0,1,1,1,0,1,0
Finland_31,0,,-1,0,0,0,1,0,1
Spain_98,0,0.0,0,1,1,1,1,1,0
Spain_153,1,11.184435286790631,2,1,0,1,1,2,0
Greece_38,0,0.0,0,0,1,1,1,0,0
Iceland_63,0,0.0,0,0,1,1,0,0,0
Germany_27,0,0.0,0,1,1,1,1,1,0
Spain_307,1,8.006700845440367,1,1,0,1,1,2,0
Sweden_43,1,11.843674210764698,3,1,0,1,1,2,0
Spain_193,1,11.51293546492023,2,1,0,1,1,2,0
Spain_21,0,0.0,0,0,0,0,1,0,0
Spain_161,1,12.206077645517674,3,1,0,1,1,2,0
Norway_37,0,0.0,0,0,1,1,1,0,0
Italy_139,1,8.853808274977197,1,0,0,0,0,1,0
Greece_9,1,8.517393171418904,1,1,0,0,1,2,0
Spain_135,1,6.398594934535208,1,1,0,1,1,2,0
Spain_584,1,7.601402334583733,1,0,0,0,1,1,0
Poland_52,1,7.741099090035366,1,1,0,1,1,2,0
Iceland_37,0,0.0,0,0,0,0,1,0,0
Italy_238,1,9.90353755128617,2,1,0,1,1,2,0
France_26,0,0.0,0,1,1,1,1,1,0
Hungary_55,0,0.0,0,1,1,1,1,1,0
Spain_86,1,7.0909098220799835,1,1,0,1,1,2,0
Slovenia_77,0,0.0,0,1,1,0,1,1,0
Netherlands_14,1,12.994532278619134,3,1,0,1,1,2,0
Spain_583,1,11.156264806643742,2,1,0,1,1,2,0
France_9,0,0.0,0,1,1,1,1,1,0
Spain_562,1,8.987321812850125,1,1,0,1,1,2,0
Spain_100,1,8.699681400989514,1,1,0,1,1,2,0
Romania_148,1,8.511557339797609,1,1,0,1,1,2,0
Spain_26,0,0.0,0,0,0,0,0,0,0
Spain_371,1,4.04305126783455,1,1,0,1,1,2,0
Slovenia_41,0,0.0,0,0,0,0,1,0,0
Sweden_14,1,9.76428295481558,2,1,0,1,1,2,0
France_54,1,11.561725152903833,3,1,0,1,1,2,0
Greece_20,0,0.0,0,0,0,0,1,0,0
Sweden_24,1,13.938613639271164,4,1,0,1,1,2,0
Spain_54,1,10.933124826700707,2,1,0,1,1,2,0
Romania_168,1,7.591155108087202,1,0,0,0,0,1,0
Italy_1,1,11.407576060361786,2,1,0,1,1,2,0
Italy_166,1,12.384223015005313,3,1,0,1,0,2,0
Italy_71,0,0.0,0,0,1,1,1,0,0
Greece_28,1,14.899056923420016,4,1,0,1,1,2,0
Romania_36,1,8.517393171418904,1,1,0,1,0,2,0
Spain_256,1,10.085850775128717,2,1,0,1,1,2,0
Spain_250,0,0.0,0,1,1,1,1,1,0
Spain_581,1,9.210440366976517,1,1,0,1,1,2,0
Italy_220,1,8.517393171418904,1,1,0,1,1,2,0
Italy_252,1,9.90353755128617,2,1,0,1,1,2,0
Slovenia_72,0,0.0,0,1,1,0,1,1,0
Spain_61,1,9.210440366976517,1,1,0,1,1,2,0
Spain_57,1,8.517393171418904,1,1,0,1,1,2,0
Spain_97,1,12.793862088206213,3,1,0,1,1,2,0
Spain_578,0,0.0,0,0,0,0,1,0,0
Spain_47,1,1.3862943611198906,1,1,0,1,1,2,0
Spain_3,0,0.0,0,1,1,1,1,1,0
Spain_252,0,0.0,0,1,1,0,1,1,0
Romania_69,1,10.596659732783579,2,1,0,1,1,2,0
Italy_42,0,0.0,0,1,1,1,1,1,0
Romania_143,1,5.69439185380283,1,1,0,0,1,2,0
Spain_455,1,10.308985993422082,2,1,0,1,1,2,0
Spain_226,1,11.472113887062386,2,1,0,0,1,2,0
Greece_46,1,8.517393171418904,1,1,0,1,1,2,0
Italy_116,1,11.51293546492023,2,1,0,1,1,2,0
Iceland_26,0,0.0,0,0,0,0,1,0,0
Italy_288,1,10.12667110305036,2,1,0,1,0,2,0
Poland_44,1,7.741099090035366,1,1,0,1,1,2,0
Greece_32,1,7.601402334583733,1,1,0,1,1,2,0
Sweden_51,0,0.0,0,1,1,1,0,1,0
Spain_597,0,0.0,0,0,1,0,1,0,0
Spain_297,1,10.596659732783579,2,1,0,1,1,2,0
Slovenia_3,0,0.0,0,0,1,1,1,0,0
Slovenia_42,0,0.0,0,0,0,0,1,0,0
Italy_267,1,13.710151153416941,3,1,0,1,1,2,0
Spain_177,1,12.506180941677357,3,1,0,1,1,2,0
Spain_325,0,0.0,0,1,1,1,1,1,0
Italy_263,0,,-1,0,0,0,0,0,1
Luxembourg_15,1,9.83633227734872,2,1,0,0,1,2,0
Slovenia_74,0,0.0,0,0,1,1,1,0,0
Spain_576,1,6.175867270105761,1,1,0,1,1,2,0
Slovenia_29,0,0.0,0,0,0,0,1,0,0
France_15,1,13.122365377402328,3,0,0,0,0,1,0
Spain_172,1,12.100717685412471,3,1,0,1,1,2,0
Sweden_48,0,0.0,0,1,1,1,1,1,0
United Kingdom_51,1,10.060534035475412,2,1,0,0,1,2,0
Romania_26,1,7.601402334583733,1,1,0,1,1,2,0
Slovenia_55,0,0.0,0,0,0,0,1,0,0
Spain_445,1,8.699681400989514,1,1,0,1,1,2,0
Finland_4,1,12.994532278619134,3,1,0,1,1,2,0
Norway_8,1,12.495007682693725,3,0,0,0,0,1,0
Netherlands_7,1,13.171155446333852,3,1,0,1,1,2,0
Romania_124,1,7.824445930877619,1,1,0,1,1,2,0
Spain_473,1,8.294299608857235,1,1,0,1,1,2,0
France_14,1,12.899222326086994,3,1,0,1,1,2,0
Romania_138,1,8.002091772787459,1,1,0,1,1,2,0
Spain_233,1,11.695255355062795,3,1,0,1,1,2,0
Italy_266,1,9.99884318585288,2,1,0,1,1,2,0
Italy_273,0,0.0,0,0,0,1,1,0,0
Norway_6,1,11.39640288460621,2,1,0,1,1,2,0
Spain_420,1,10.819798284210286,2,1,0,1,1,2,0
Romania_88,1,8.294299608857235,1,0,0,0,0,1,0
Iceland_97,0,0.0,0,0,0,0,1,0,0
Spain_82,1,11.156264806643742,2,1,0,1,1,2,0
Lithuania_9,0,0.0,0,0,0,0,1,0,0
Iceland_33,0,0.0,0,0,0,0,1,0,0
Spain_195,1,9.210440366976517,1,1,0,1,0,2,0
Spain_481,1,11.156264806643742,2,1,0,1,1,2,0
Norway_56,0,0.0,0,0,0,1,0,0,0
Spain_347,1,8.006700845440367,1,1,0,1,1,2,0
Italy_257,1,9.210440366976517,1,1,0,0,1,2,0
France_17,1,14.626441218624949,4,0,0,0,0,1,0
Iceland_13,0,0.0,0,0,0,0,1,0,0
Latvia_5,0,,-1,0,0,0,0,0,1
Italy_301,1,9.90353755128617,2,1,0,1,1,2,0
United Kingdom_36,1,2.337952236831337,1,0,0,0,0,1,0
Spain_156,1,15.201805169084134,4,1,0,1,1,2,0
Hungary_6,1,10.883710371704016,2,1,0,1,1,2,0
Spain_253,0,0.0,0,1,1,1,1,1,0
Norway_17,1,3.6000482404073204,1,1,0,1,0,2,0
Spain_593,0,0.0,0,0,0,0,1,0,0
Germany_9,1,12.278397958261774,3,1,0,1,1,2,0
