source,target,edge_type,category
Article 5 Principles::SECURITY,Spain_182,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_189,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_183,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_193,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_200,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_198,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_201,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_205,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_207,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_212,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_211,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_214,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_228,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_231,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_235,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_237,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_246,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_250,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_254,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_256,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_262,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_264,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_266,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_268,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_273,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_279,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_282,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_277,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_283,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_287,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_304,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_309,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_314,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_318,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_324,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_326,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_332,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_335,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_344,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_349,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_351,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_359,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_364,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_367,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_366,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_369,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_372,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_381,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_382,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_389,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_401,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_399,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_405,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_404,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_410,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_417,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_426,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_429,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_430,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_436,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_434,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_440,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_441,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_442,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_444,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_461,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_462,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_464,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_474,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_486,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_493,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_496,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_495,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_498,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_499,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_503,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_506,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_502,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_504,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_520,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_527,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_542,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_549,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_558,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_557,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_560,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_564,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_575,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_571,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_573,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_574,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_600,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_606,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_607,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_614,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_620,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_624,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_625,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_618,violated,Article 5 Principles
Article 5 Principles::SECURITY,Slovenia_3,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_627,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_626,violated,Article 5 Principles
Article 5 Principles::SECURITY,Slovenia_54,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_13,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_17,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_19,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_25,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_28,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_29,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_34,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_36,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_32,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_41,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_48,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_49,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_46,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_53,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_67,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_69,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_70,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_72,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_78,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_87,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_91,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_94,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_101,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_98,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_108,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_116,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_121,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_119,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_131,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_129,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_132,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_134,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_136,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_139,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_141,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_145,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_144,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_155,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_165,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_171,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_172,violated,Article 5 Principles
Article 5 Principles::SECURITY,Romania_176,violated,Article 5 Principles
Article 5 Principles::SECURITY,Portugal_11,violated,Article 5 Principles
Article 5 Principles::SECURITY,Portugal_1,violated,Article 5 Principles
Article 5 Principles::SECURITY,Portugal_10,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_1,violated,Article 5 Principles
Article 5 Principles::SECURITY,Portugal_12,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_6,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_14,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_15,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_16,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_24,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_22,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_32,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_27,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_29,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_31,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_26,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_28,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_30,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_34,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_38,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_36,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_37,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_35,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_39,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_40,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_43,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_41,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_42,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_46,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_47,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_48,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_49,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_53,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_50,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_52,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_54,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_55,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_56,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_60,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_62,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_61,violated,Article 5 Principles
Article 5 Principles::SECURITY,Poland_64,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_5,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_1,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_9,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_10,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_13,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_20,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_24,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_29,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_27,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_28,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_36,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_37,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_38,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_39,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_46,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_51,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_47,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_54,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_56,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_60,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_63,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_67,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_74,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_75,violated,Article 5 Principles
Article 5 Principles::SECURITY,Norway_82,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_1,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_2,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_7,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_8,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_12,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_16,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_22,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_21,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_20,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_32,violated,Article 5 Principles
Article 5 Principles::SECURITY,Netherlands_35,violated,Article 5 Principles
Article 5 Principles::SECURITY,Malta_11,violated,Article 5 Principles
Article 5 Principles::SECURITY,Malta_7,violated,Article 5 Principles
Article 5 Principles::SECURITY,Malta_12,violated,Article 5 Principles
Article 5 Principles::SECURITY,Luxembourg_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Luxembourg_5,violated,Article 5 Principles
Article 5 Principles::SECURITY,Luxembourg_12,violated,Article 5 Principles
Article 5 Principles::SECURITY,Luxembourg_21,violated,Article 5 Principles
Article 5 Principles::SECURITY,Lithuania_2,violated,Article 5 Principles
Article 5 Principles::SECURITY,Lithuania_3,violated,Article 5 Principles
Article 5 Principles::SECURITY,Lithuania_10,violated,Article 5 Principles
Article 5 Principles::SECURITY,Latvia_9,violated,Article 5 Principles
Article 5 Principles::SECURITY,Latvia_13,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_3,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_2,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_14,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_16,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_15,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_26,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_28,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_34,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_37,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_36,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_46,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_48,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_45,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_47,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_51,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_54,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_56,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_57,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_59,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_61,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_60,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_62,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_63,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_65,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_67,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_70,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_66,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_76,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_75,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_77,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_80,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_82,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_87,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_90,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_89,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_91,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_99,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_98,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_106,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_105,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_107,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_109,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_114,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_115,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_119,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_117,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_120,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_121,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_124,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_123,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_128,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_129,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_135,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_134,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_140,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_143,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_146,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_147,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_145,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_150,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_151,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_154,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_159,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_161,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_164,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_162,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_165,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_167,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_163,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_171,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_176,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_172,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_180,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_182,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_183,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_189,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_186,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_193,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_190,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_194,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_201,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_199,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_203,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_202,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_205,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_210,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_209,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_206,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_215,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_214,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_216,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_217,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_223,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_228,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_231,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_234,violated,Article 5 Principles
Article 5 Principles::SECURITY,Italy_232,violated,Article 5 Principles
