outcome,feature_a,feature_b,importance
fine_log1p,q68_text_The_Slovenian_DPA_provided_a_non_binding_opinion_on_a_proposed_COVID_19_data_analysis_system_questioning_whether_the_data_was_truly_anonymized_emphasizing_the_need_for_a_legal_basis_if_personal_data_is_involved_and_citing_constitutional_protections_for_communication_privacy,q56_rights_discussed_known_ACCESS_ERASURE,0.025390766803451554
fine_log1p,q10_org_class_SME,raw_q39_BELOW_ALL_CAPS,0.02441697924784375
fine_log1p,q32_bases_NONE_DISCUSSED,raw_q39_BELOW_ALL_CAPS,0.023727201765604406
fine_log1p,q47_remedial_POLICY_CHANGES,raw_q39_BELOW_ALL_CAPS,0.023430185763927275
fine_log1p,isic_code_R900,raw_q52_Initial_proposed_fine_of_2000_reduced_by_20_for_voluntary_payment_and_another_20_for_acknowledgment_of_responsibility_resulting_in_1200_final_fine_aggravating_factors_included_nature_gravity_and_negligence_mitigating_factors_included_cooperation_and_corrective_actions,0.02058392082270068
fine_log1p,q41_aggrav_INTENT_NEGLIGENCE,raw_q39_BELOW_ALL_CAPS,0.02022967111495868
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES,0.01933612626297533
fine_log1p,decision_date_raw_2021_04_06,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.019336126262975328
fine_log1p,decision_date_raw_2021_12_13,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_CONNECTION_ACTIVITY_PROCESSING,0.01910109423898652
fine_log1p,raw_q36_Defendant_processed_GPS_data_without_legal_basis_failed_to_inform_data_subject_used_excessive_storage_and_lacked_less_intrusive_alternatives_for_timekeeping_purposes,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.018126188470982355
fine_log1p,q52_text_No_fine_was_imposed_as_this_is_a_non_binding_opinion_not_an_enforcement_decision,raw_q68_Non_binding_opinion_addressing_employer_processing_of_employee_COVID_19_test_data_and_health_card_numbers_discusses_legal_bases_under_GDPR_Article_6_and_9_emphasizes_problematic_consent_in_employment_contexts_references_EDPB_guidelines_and_advises_on_purpose_limitation_and_data_minimization_principles,0.01802664237416444
fine_log1p,fine_raw_0,isic_code_STRING,0.017819166319536252
fine_log1p,turnover_eur,raw_q39_BELOW_ALL_CAPS,0.017600718151142943
fine_log1p,turnover_eur,raw_q13_NO,0.017283856355955834
fine_log1p,raw_q36_Defendant_violated_data_minimization_principle_by_collecting_excessive_ID_copies_and_failed_to_provide_adequate_information_under_Article_13_GDPR,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.017115150426066567
fine_log1p,raw_q14_NOT_APPLICABLE,raw_q39_BELOW_ALL_CAPS,0.017018619317302766
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,q56_rights_discussed_known_ACCESS_ERASURE,0.016635388300481863
fine_log1p,q68_text_The_Slovenian_DPA_provided_a_non_binding_opinion_on_a_proposed_COVID_19_data_analysis_system_questioning_whether_the_data_was_truly_anonymized_emphasizing_the_need_for_a_legal_basis_if_personal_data_is_involved_and_citing_constitutional_protections_for_communication_privacy,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.016635388300481845
fine_log1p,fine_raw_0,raw_q50_COMPLIANCE_ORDER,0.01626569672528454
fine_log1p,raw_q36_Defendant_lacked_consent_mechanism_for_data_processing_and_failed_to_provide_adequate_privacy_policy_information_as_required_by_Articles_6_and_13_GDPR,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.01620169846732982
fine_log1p,q52_text_Proposed_fine_of_3000_EUR_for_LSSI_Article_22_2_violation_reduced_by_20_for_liability_acknowledgment_and_another_20_for_voluntary_payment_resulting_in_1800_EUR_paid_Factors_considered_include_intentionality_and_duration_since_October_2019_complaint_Procedure_terminated_upon_payment,raw_q68_Romanian_DPA_fined_Tehnoplus_Industry_SRL_5000_EUR_for_excessive_GPS_monitoring_of_employee_without_proper_legal_basis_information_or_storage_limits_ordered_compliance_reassessment_and_data_limitation,0.0161340633520279
fine_log1p,q52_text_No_fine_was_imposed_as_this_is_a_non_binding_opinion_response_to_a_query_not_an_enforcement_decision,raw_q68_Natural_person_operated_website_publishing_personal_data_of_383_individuals_without_lawful_basis_fined_150_EUR_for_violating_Articles_5_1_a_f_and_6_1_a_GDPR,0.015287595994003965
fine_log1p,decision_date_raw_2022_02_14,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_COOPERATION_WITH_AUTHORITY_MANNER_BECAME_KNOWN,0.015064947691367311
fine_log1p,q41_aggrav_NONE,isic_code_STRING,0.014903320957741077
fine_log1p,raw_q39_BELOW_ALL_CAPS,raw_q40_NOT_SPECIFIED,0.014556644658794084
fine_log1p,data_subjects_notified_MISSING,q61_dpo_issues_known_NOT_APPLICABLE,0.013857781612359267
fine_log1p,raw_q36_Defendant_violated_data_minimization_principle_by_disclosing_excessive_health_and_email_data_to_a_public_entity_for_defense_purposes_exceeding_what_was_necessary,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.01328867168269317
fine_log1p,n_corrective_measures,remedy_only_case,0.012320393820375213
fine_log1p,q52_text_No_fine_was_imposed_a_reprimand_was_issued_due_to_the_nature_of_the_breach_mitigating_factors_including_cooperation_and_remedial_actions_and_the_lack_of_documented_harm_to_data_subjects,raw_q68_Polish_DPA_fined_PNP_Sp_ka_Akcyjna_EUR_5000_for_failing_to_cooperate_and_provide_information_requested_during_complaint_investigation_violating_Articles_31_and_58_1_e_GDPR_violation_was_continuous_from_October_2019_deemed_serious_due_to_hindering_proceedings,0.012076681259088158
fine_log1p,schema_echo_flag,fine_raw_0,0.012034444592158047
fine_log1p,q52_text_No_fine_was_imposed_as_this_is_an_advisory_opinion_without_enforcement_actions_or_violations_found,raw_q68_Nordax_Bank_AB_failed_to_handle_complainant_s_data_subject_rights_requests_under_Articles_12_15_and_17_IMY_issued_reprimand_and_compliance_orders_due_to_minor_infringement_affecting_one_person_human_error_no_prior_breaches_and_cross_border_cooperation_with_Norway_Denmark_Finland_and_Germany,0.01153807489753958
fine_log1p,q52_text_No_fine_was_imposed_due_to_the_public_sector_status_of_the_defendant_corrective_measures_were_ordered_instead_considering_the_nature_of_the_violations_and_the_defendant_s_cooperation_and_mitigation_actions,raw_q68_Polish_DPA_fined_Chief_National_Surveyor_12_732_for_failing_to_notify_a_48_hour_disclosure_of_land_register_numbers_personal_data_on_its_website_and_not_informing_data_subjects_despite_explicit_DPA_instruction_violations_were_intentional_and_repeat_offenses,0.011331636731906368
fine_log1p,schema_echo_flag,q41_aggrav_NONE,0.01112443089047723
fine_log1p,q10_org_class_SME,q32_bases_NONE_DISCUSSED,0.011122715040999327
fine_log1p,q52_text_The_fine_was_reduced_by_40_due_to_voluntary_payment_and_recognition_of_responsibility_Initial_fines_were_13_000_for_data_minimization_violation_and_7_000_for_information_obligation_violation_totaling_20_000_before_reductions_The_defendant_s_SME_status_and_cooperation_were_considered,raw_q68_Spanish_DPA_fined_Telef_nica_75_000_for_unlawful_processing_under_Article_6_GDPR_A_phone_line_portability_was_executed_without_valid_consent_due_to_human_error_in_verification_procedures_causing_loss_of_service_to_the_data_subject_The_DPA_found_no_lawful_basis_for_processing_personal_data,0.011121964324034263
fine_log1p,q10_org_class_SME,raw_q55_WITHIN_MONTH,0.010988279058578469
fine_log1p,q25_sensitive_data_NOT_MENTIONED,raw_q39_BELOW_ALL_CAPS,0.01095069058465657
fine_log1p,raw_q38_2177703000,raw_q68_Spanish_DPA_fined_company_4_000_for_failing_to_respond_to_information_requests_during_investigation_violating_Article_58_1_GDPR_ordered_compliance_within_10_days,0.01071977454444924
fine_log1p,ingest_missing_questions_MISSING,raw_q37_6000000,0.010413170486880318
fine_log1p,q52_tokens,raw_q1_ISO_3166_1_ALPHA_2_ES,0.010328431566119328
fine_log1p,q64_transfer_violations_NO_ADEQUATE_SAFEGUARDS,raw_q37_50000,0.010309939040977403
fine_log1p,q10_org_class_SME,raw_q13_NO,0.01028172193197811
fine_log1p,remedy_only_case,q10_org_class_PUBLIC_SECTOR_BODY,0.010275851025735893
fine_log1p,fine_raw_0,raw_q40_YEARS,0.010232070279719114
fine_log1p,raw_q39_BELOW_ALL_CAPS,raw_q46_NONE_MENTIONED,0.009910584634972852
fine_log1p,q52_text_The_fine_was_set_at_20_000_reduced_to_16_000_for_voluntary_payment_Aggravating_factors_included_nature_gravity_affecting_500_employees_negligence_in_not_conducting_DPIA_and_lack_of_organizational_measures_No_mitigating_factors_were_applied,raw_q68_Spanish_DPA_fined_company_4_000_for_failing_to_respond_to_information_requests_during_investigation_violating_Article_58_1_GDPR_ordered_compliance_within_10_days,0.009781635846277108
fine_log1p,raw_q39_BELOW_ALL_CAPS,turnover_status_NOT_MENTIONED,0.00973863711597955
fine_log1p,q36_tokens,raw_q39_BELOW_ALL_CAPS,0.009612475847946651
fine_log1p,q32_bases_LEGITIMATE_INTERESTS,fine_raw_0,0.008924508295908403
fine_log1p,q58_access_issues_EXCESSIVE_DELAY,raw_q37_2400,0.008859122361885734
fine_log1p,q56_rights_discussed_NONE_DISCUSSED,raw_q39_BELOW_ALL_CAPS,0.008789770255026945
fine_log1p,raw_q36_The_City_Council_processed_personal_data_without_a_legal_basis_under_Article_6_GDPR_by_communicating_a_third_party_s_debt_to_the_claimant_and_requesting_his_data_from_INSS_failing_to_verify_the_marital_property_regime_beforehand,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.008686510840038082
fine_log1p,art33_notification_required_note_MISSING,q57_rights_violated_known_RECTIFICATION_INFORMATION_OBLIGATIONS,0.008424887854774046
fine_log1p,q10_org_class_LARGE_ENTERPRISE,q25_sensitive_data_NOT_MENTIONED,0.00831076055809278
fine_log1p,q10_org_class_SME,q57_rights_violated_ERASURE,0.008230807278589576
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_CONNECTION_ACTIVITY_PROCESSING,0.008006954188186692
fine_log1p,decision_date_raw_2021_12_13,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.008006954188186663
fine_log1p,q52_text_Initial_fine_set_at_2_000_for_deliberate_use_of_another_s_image_for_deception_reduced_to_1_200_due_to_voluntary_payment_and_recognition_of_responsibility_applying_cumulative_20_reductions,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.007970978870731671
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q68_A_medical_clinic_used_a_laser_thermometer_at_its_entrance_during_COVID_19_making_body_temperature_results_visible_to_others_in_the_waiting_area_violating_GDPR_confidentiality_principles_The_Spanish_DPA_imposed_a_30_000_fine_for_breaches_of_Articles_5_1_f_and_32_citing_negligence_and_health_data_sensitivity_despite_the_defendant_s_claim_that_no_data_processing_occurred,0.007970978870731671
fine_log1p,q52_tokens,raw_q24_NOT_APPLICABLE,0.007922489241371228
fine_log1p,raw_q39_BELOW_ALL_CAPS,raw_q50_COMPLIANCE_ORDER,0.007750282295800168
fine_log1p,remedy_only_case,q56_rights_discussed_INFORMATION_OBLIGATIONS,0.00773193233783608
fine_log1p,turnover_raw_168251493,raw_q52_Fine_imposed_for_non_cooperation_with_DPA_investigation_no_specific_calculation_details_provided_beyond_the_fixed_amount_for_the_violation,0.007620864069080229
fine_log1p,raw_q36_Defendant_published_employee_photos_on_website_claiming_consent_but_failed_to_provide_adequate_information_or_obtain_unambiguous_consent_as_required_by_GDPR_Article_6,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.0075084910296789095
fine_log1p,q10_org_class_NOT_MENTIONED,raw_q39_BELOW_ALL_CAPS,0.007354879198150774
fine_log1p,q10_org_class_LARGE_ENTERPRISE,raw_q13_NO,0.007254709700026911
fine_log1p,art34_notification_required_note_MISSING,country_status_NOT_MENTIONED,0.0071906819483493045
fine_log1p,isic_code_Q_Human_health_and_social_work_activities,raw_q52_Initial_fines_of_3000_for_Article_5_1_c_and_2000_for_Article_13_were_reduced_to_3000_total_due_to_recognition_of_responsibility_and_voluntary_payment_Aggravating_factors_included_sensitive_data_categories_mitigating_factors_included_cooperation_and_remedial_actions,0.0071010211653448055
fine_log1p,q52_text_No_fine_was_imposed_as_this_was_an_advisory_opinion_on_legal_compliance_rather_than_an_enforcement_action_against_specific_violations,raw_q68_Orange_Spain_fined_200_000_for_providing_duplicate_eSIM_to_impersonator_without_identity_verification_violating_Article_6_1_GDPR_DPA_found_lack_of_due_diligence_despite_security_measures_with_aggravating_factors_including_previous_similar_infringements,0.007086773624097691
fine_log1p,q30_discussed_SECURITY,fine_raw_0,0.007084457605576711
fine_log1p,q10_org_class_NOT_MENTIONED,raw_q40_NOT_SPECIFIED,0.007002553713340732
fine_log1p,q41_aggrav_INTENT_NEGLIGENCE,raw_q13_NO,0.007002206907898112
fine_log1p,raw_q36_Defendant_failed_to_adequately_respond_to_data_subject_s_access_and_erasure_requests_violating_Articles_15_and_17_GDPR_The_legitimacy_of_initial_data_processing_was_not_contested_but_the_handling_of_rights_requests_was_deficient,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.006948204894557224
fine_log1p,raw_q36_Defendant_installed_video_surveillance_cameras_capturing_excessive_images_of_public_roads_and_private_areas_without_justification_violating_data_minimization_principle_and_failed_to_provide_required_information_to_data_subjects,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.006902284357439911
fine_log1p,q10_org_class_SME,fine_raw_0,0.006874319777801739
fine_log1p,raw_q36_The_decision_addresses_a_violation_of_the_right_to_object_under_Article_21_GDPR_in_the_context_of_unsolicited_commercial_calls_No_detailed_analysis_of_Article_5_or_6_principles_is_provided_beyond_linking_to_legitimate_interests_for_marketing,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.006782911467355603
fine_log1p,q10_org_class_LARGE_ENTERPRISE,raw_q46_NONE_MENTIONED,0.00672707453823214
fine_log1p,remedy_only_case,q10_org_class_NON_PROFIT,0.006672164213903787
fine_log1p,q47_remedial_POLICY_CHANGES,raw_q14_NOT_APPLICABLE,0.00649972886101906
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q68_Romanian_DPA_fined_Tehnoplus_Industry_SRL_5000_EUR_for_excessive_GPS_monitoring_of_employee_without_proper_legal_basis_information_or_storage_limits_ordered_compliance_reassessment_and_data_limitation,0.006392339612373667
fine_log1p,q52_text_Proposed_fine_of_3000_EUR_for_LSSI_Article_22_2_violation_reduced_by_20_for_liability_acknowledgment_and_another_20_for_voluntary_payment_resulting_in_1800_EUR_paid_Factors_considered_include_intentionality_and_duration_since_October_2019_complaint_Procedure_terminated_upon_payment,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.006392339612373638
fine_log1p,remedy_only_case,raw_q55_WITHIN_MONTH,0.006242038512858055
fine_log1p,q47_remedial_POLICY_CHANGES,raw_q13_NO,0.006219566548039286
fine_log1p,q30_discussed_SECURITY,isic_code_STRING,0.006212977847036745
fine_log1p,decision_date_raw_2021_04_06,q36_text_TYPE_The_defendant_failed_to_properly_define_its_role_as_a_joint_controller_with_service_users_violating_accountability_principles_under_Article_5_2_GDPR_by_not_establishing_a_transparent_agreement_as_required_by_Article_26,0.006147786532914619
fine_log1p,raw_q36_Defendant_failed_to_adequately_respond_to_data_subject_s_access_and_erasure_requests_violating_Articles_15_and_17_GDPR_The_legitimacy_of_initial_data_processing_was_not_contested_but_the_handling_of_rights_requests_was_deficient,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES,0.006147786532914617
fine_log1p,q10_org_class_SME,q41_aggrav_INTENT_NEGLIGENCE,0.006143370451778335
fine_log1p,q52_tokens,fine_raw_0,0.006080565884205762
fine_log1p,fine_raw_0,raw_q24_NOT_APPLICABLE,0.005981133076092607
fine_log1p,raw_q13_NO,raw_q55_WITHIN_MONTH,0.005959795966881375
fine_log1p,raw_q3_NOT_DISCUSSED,raw_q44_NO_BENEFIT,0.0059205031424829566
fine_log1p,data_subjects_notified_note_direct,q64_transfer_violations_known_MISSING,0.00585135114429181
fine_log1p,isic_code_R94_Activities_of_membership_organisations,raw_q52_Initial_proposed_fine_of_2000_reduced_by_40_to_1200_due_to_voluntary_payment_and_acknowledgment_of_liability_Fine_calculated_based_on_violation_of_Article_13_GDPR,0.005766050495242281
fine_log1p,raw_q38_2177703000,raw_q68_A_mother_filed_a_complaint_against_CaixaBank_for_failing_to_provide_requested_account_information_of_her_minor_daughter_and_improperly_disclosing_data_of_another_daughter_The_Spanish_DPA_found_a_violation_of_Article_32_1_GDPR_due_to_inadequate_security_measures_imposing_a_25_000_fine_and_a_compliance_order_to_prevent_future_incidents,0.005734427534705213
fine_log1p,q52_text_Initial_fine_set_at_40_000_for_lack_of_diligence_in_verifying_identity_reduced_to_24_000_due_to_voluntary_payment_and_acknowledgment_of_responsibility_within_hearing_period,q52_text_TYPE_No_fine_was_imposed_due_to_KRY_s_cooperation_mitigation_efforts_and_the_DPA_s_assessment_that_an_order_for_compliance_was_proportionate_aggravating_factors_included_the_nature_of_violations_and_sensitive_data_while_mitigating_factors_included_KRY_s_actions_to_improve,0.005734427534705212
fine_log1p,raw_q33_NOT_MENTIONED,raw_q45_NOT_DISCUSSED,0.005660337118033811
fine_log1p,q68_tokens,fine_raw_0,0.005624189485429319
fine_log1p,q52_text_The_fine_was_initially_set_at_40_000_for_non_compliance_with_a_prior_resolution_It_was_reduced_to_24_000_due_to_the_defendant_s_recognition_of_responsibility_and_voluntary_payment_applying_cumulative_20_reductions,raw_q68_Spanish_DPA_fined_Segurcaixa_Adeslas_300_000_for_sending_marketing_emails_without_legal_basis_to_a_complainant_on_the_Robinson_list_failing_to_respond_to_deletion_requests_under_Article_17_GDPR_and_lacking_proper_data_processing_agreements_with_insurance_agents_under_Article_28_GDPR_The_violations_were_continuous_and_negligent,0.005523614852686375
fine_log1p,fine_raw_0,raw_q40_NOT_SPECIFIED,0.005465072213824808
fine_log1p,schema_echo_flag,q31_violated_SECURITY,0.005443510081149541
fine_log1p,q32_bases_CONSENT,q46_vuln_CHILDREN,0.005412812705795513
fine_log1p,isic_code_STRING,raw_q40_YEARS,0.005396328946373029
fine_log1p,q68_text_Telef_nica_Espa_a_processed_claimant_s_data_without_valid_consent_for_mobile_line_and_bank_details_after_identity_theft_failed_to_prove_authorization_for_ownership_change_or_direct_debit_fined_55_000_for_Article_6_1_violation_with_aggravating_factors,q54_scopes_unknown_MISSING,0.005331689812202894
fine_log1p,q30_discussed_SECURITY,q32_bases_LEGITIMATE_INTERESTS,0.005309196297739416
fine_log1p,raw_q36_Defendant_lacked_consent_mechanism_for_data_processing_and_failed_to_provide_adequate_privacy_policy_information_as_required_by_Articles_6_and_13_GDPR,q56_rights_discussed_known_ACCESS_ERASURE,0.0052700513336732665
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q68_Spanish_DPA_fined_company_4_000_for_failing_to_respond_to_information_requests_during_investigation_violating_Article_58_1_GDPR_ordered_compliance_within_10_days,0.005265247406206836
fine_log1p,q52_text_The_fine_was_set_at_20_000_reduced_to_16_000_for_voluntary_payment_Aggravating_factors_included_nature_gravity_affecting_500_employees_negligence_in_not_conducting_DPIA_and_lack_of_organizational_measures_No_mitigating_factors_were_applied,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.005265247406206836
fine_log1p,turnover_eur,turnover_status_NOT_MENTIONED,0.005179884464560918
fine_log1p,q67_tokens,q42_mitig_NONE,0.005105537567657837
fine_log1p,q32_bases_NONE_DISCUSSED,raw_q40_NOT_SPECIFIED,0.0049522509041951485
fine_log1p,n_corrective_measures,q10_org_class_NON_PROFIT,0.004925216170034161
fine_log1p,remedy_only_case,raw_q66_NO_REFERENCES,0.004897552777925125
fine_log1p,remedy_only_case,q57_rights_violated_ERASURE,0.004817826356298713
fine_log1p,q32_bases_NONE_DISCUSSED,q47_remedial_POLICY_CHANGES,0.004776654374788496
fine_log1p,fine_raw_0,raw_q14_OVER_1B,0.004720089781361121
fine_log1p,q36_tokens,q10_org_class_SME,0.004708391043490123
fine_log1p,fine_raw_0,raw_q45_NOT_DISCUSSED,0.004691231559039107
fine_log1p,q56_rights_discussed_NONE_DISCUSSED,fine_raw_0,0.004572941135222601
fine_log1p,raw_q2_Autoritatea_Na_ional_de_Supraveghere_a_Prelucr_rii_Datelor_cu_Caracter_Personal,art33_notification_timeliness_status_UNCLEAR,0.004565148885611157
fine_log1p,raw_q31_ACCOUNTABILITY,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,0.00451446470798798
fine_log1p,q57_rights_violated_ERASURE,raw_q40_YEARS,0.004485374110652011
fine_log1p,q68_tokens,raw_q43_NOT_DISCUSSED,0.004437564951552373
fine_log1p,q10_org_class_SME,q41_aggrav_NONE,0.0043698020893093254
fine_log1p,schema_echo_flag,q32_bases_LEGITIMATE_INTERESTS,0.004362561425274341
fine_log1p,isic_code_STRING,raw_q24_NOT_APPLICABLE,0.004343058472300936
