community,members
10,raw_q41_NATURE_GRAVITY_DURATION_PREVIOUS_INFRINGEMENTS_1
11,raw_q41_NONE_DISCUSSED
12,raw_q47_IMMEDIATE_CESSATION_STAFF_TRAINING
13,raw_q41_NON_COOPERATION_WITH_AUTHORITY
14,raw_q47_IMMEDIATE_CESSATION_POLICY_CHANGES
15,raw_q41_NOT_DISCUSSED
16,raw_q46_ELDERLY
17,raw_q47_MISSING
18,raw_q47_NONE_DISCUSSED
19,raw_q41_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY
20,raw_q41_NATURE_GRAVITY_DURATION_DATA_CATEGORIES_AFFECTED_1
21,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_1
22,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_CATEGORIES_AFFECTED
23,raw_q47_POLICY_CHANGES
24,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_CONNECTION_ACTIVITY_PROCESSING
25,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_COOPERATION_WITH_AUTHORITY
26,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_COOPERATION_WITH_AUTHORITY_MANNER_BECAME_KNOWN
27,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_1
28,raw_q47_DATA_DELETION
29,raw_q47_IMMEDIATE_CESSATION_DATA_DELETION_ORDER
30,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_MANNER_BECAME_KNOWN
31,raw_q47_NOT_MENTIONED
32,raw_q47_NOT_DISCUSSED
33,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_OTHER_CIRCUMSTANCES
34,raw_q47_IMMEDIATE_CESSATION_STAFF_TRAINING_POLICY_CHANGES_COMPENSATION_TO_SUBJECTS
35,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_1
36,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_PREVIOUS_INFRINGEMENTS
37,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS
38,raw_q47_NOT_APPLICABLE
39,raw_q47_NONE_MENTIONED
40,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS_MANNER_BECAME_KNOWN_DATA_CATEGORIES_AFFECTED
41,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES_1
42,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_1
43,raw_q42_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_PREVIOUS_INFRINGEMENTS
44,raw_q42_COOPERATION_WITH_AUTHORITY
45,raw_q42_NOT_MENTIONED
46,raw_q42_PREVIOUS_INFRINGEMENTS
47,raw_q42_PREVIOUS_INFRINGEMENTS_OTHER_CIRCUMSTANCES
48,raw_q42_PREVIOUS_INFRINGEMENTS_COOPERATION_WITH_AUTHORITY
49,raw_q47_IMMEDIATE_CESSATION_STAFF_TRAINING_EXTERNAL_AUDIT
50,raw_q43_MISSING
51,raw_q47_IMMEDIATE_CESSATION_STAFF_TRAINING_1
52,raw_q43_YES_BOTH_TYPES
53,raw_q47_IMMEDIATE_CESSATION_POLICY_CHANGES_STAFF_TRAINING
54,raw_q47_IMMEDIATE_CESSATION_POLICY_CHANGES_DPO_APPOINTMENT
55,raw_q44_MISSING
56,raw_q47_IMMEDIATE_CESSATION_POLICY_CHANGES_1
57,raw_q47_IMMEDIATE_CESSATION_DATA_DELETION_ORDER_1
58,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_STAFF_TRAINING
59,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_EXTERNAL_AUDIT
60,raw_q44_YES_MENTIONED_UNQUANTIFIED
61,raw_q46_EMPLOYEES
62,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_DPO_APPOINTMENT
63,raw_q46_CHILDREN_FINANCIALLY_VULNERABLE
64,raw_q45_MISSING
65,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES
66,raw_q46_ELDERLY_PATIENTS
67,raw_q45_PARTIAL_COOPERATION
68,raw_q46_CHILDREN
69,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES
70,raw_q41_NATURE_GRAVITY_DURATION_CATEGORIES_OF_DATA_AFFECTED
71,raw_q42_OTHER_CIRCUMSTANCES
72,raw_q42_NOT_DISCUSSED
73,raw_q42_COOPERATION_WITH_AUTHORITY_MITIGATION_ACTIONS
74,raw_q46_CHILDREN_PATIENTS_1
75,raw_q42_COOPERATION_WITH_AUTHORITY_MITIGATION_ACTIONS_1
76,raw_q42_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES
77,raw_q42_MISSING
78,raw_q42_MITIGATION_ACTIONS
79,raw_q47_IMMEDIATE_CESSATION_SECURITY_IMPROVEMENTS
80,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_EXTERNAL_AUDIT_1
81,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_DPO_APPOINTMENT_1
82,raw_q42_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY
83,raw_q46_CHILDREN_PATIENTS
84,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING
85,raw_q42_MITIGATION_ACTIONS_PREVIOUS_INFRINGEMENTS_COOPERATION_WITH_AUTHORITY
86,raw_q42_NATURE_GRAVITY_DURATION
87,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_1
88,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_LEGAL_ADVICE
89,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_1
90,raw_q46_MISSING
91,raw_q42_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_OTHER_CIRCUMSTANCES
92,raw_q42_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_INTENT_NEGLIGENCE
93,raw_q42_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY
94,raw_q42_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY_OTHER_CIRCUMSTANCES
95,raw_q46_FINANCIALLY_VULNERABLE
96,raw_q42_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS
97,raw_q42_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY
98,raw_q42_NONE
99,raw_q42_NONE_DISCUSSED
100,raw_q42_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_PREVIOUS_INFRINGEMENTS_1
101,ingest_line_count
102,raw_q41_NATURE_GRAVITY_DURATION_PREVIOUS_INFRINGEMENTS_DATA_CATEGORIES_AFFECTED
103,raw_q37_90000
104,raw_q37_NUMBER_10000
105,raw_q37_NUMBER_0
106,raw_q37_NUMBER
107,raw_q37_NOT_DISCUSSED
108,raw_q37_MISSING
109,raw_q37_98000
110,raw_q37_9000
111,raw_q37_NUMBER_1500
112,raw_q37_900
113,raw_q37_8150000
114,raw_q37_80000
115,raw_q37_8000
116,raw_q37_7500000
117,raw_q37_75000
118,raw_q37_NUMBER_12000
119,raw_q37_NUMBER_20000
120,raw_q37_70000
121,raw_q37_NUMBER_500
122,raw_q37_NUMBER_70000
123,raw_q37_NUMBER_6255
124,raw_q37_NUMBER_6000
125,raw_q37_NUMBER_56000
126,raw_q37_NUMBER_50000
127,raw_q37_NUMBER_5000
128,raw_q37_NUMBER_480
129,raw_q37_NUMBER_24000
130,raw_q37_NUMBER_4000
131,raw_q37_NUMBER_360000
132,raw_q37_NUMBER_300000
133,raw_q37_NUMBER_3000
134,raw_q37_NUMBER_300
135,raw_q37_NUMBER_240000
136,raw_q37_72000
137,raw_q37_7000
138,raw_q41_NATURE_GRAVITY_DURATION_PREVIOUS_INFRINGEMENTS
139,raw_q37_25000
140,raw_q37_350000
141,raw_q37_300000
142,raw_q37_30000
143,raw_q37_3000
144,raw_q37_300
145,raw_q37_250000
146,raw_q37_2500
147,raw_q37_35000000
148,raw_q37_24000
149,raw_q37_2400
150,raw_q37_2310000
151,raw_q37_2100000
152,raw_q37_2000000
153,raw_q37_200000
154,raw_q37_3500000
155,raw_q37_4000
156,raw_q37_6000000
157,raw_q37_50000
158,raw_q37_600000
159,raw_q37_60000
160,raw_q37_6000
161,raw_q37_600
162,raw_q37_55000
163,raw_q37_500000
164,raw_q37_5000
165,raw_q37_40000
166,raw_q37_500
167,raw_q37_48000
168,raw_q37_460000
169,raw_q37_45000
170,raw_q37_42000
171,raw_q37_4000000
172,raw_q37_NUMBER_75000
173,raw_q37_NUMBER_8000
174,raw_q37_NUMBER_900
175,raw_q39_MISSING
176,raw_q41_COOPERATION_WITH_AUTHORITY
177,raw_q40_ONGOING
178,raw_q40_NOT_DISCUSSED
179,raw_q40_MISSING
180,raw_q40_DAYS
181,raw_q39_NOT_DISCUSSED
182,raw_q38_NUMBER_null_2
183,raw_q41_INTENT_NEGLIGENCE
184,raw_q38_NUMBER_null_1
185,raw_q38_NUMBER_66551000
186,raw_q38_NUMBER_564590423
187,raw_q38_NUMBER_16154950
188,raw_q38_NUMBER_1450000000
189,raw_q38_NUMBER_11181007
190,raw_q41_DATA_CATEGORIES_AFFECTED
191,raw_q41_INTENT_NEGLIGENCE_OTHER_CIRCUMSTANCES
192,raw_q37_NUMBER_96000
193,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE
194,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES_PREVIOUS_INFRINGEMENTS_DATA_CATEGORIES_AFFECTED_MANNER_BECAME_KNOWN_OTHER_CIRCUMSTANCES
195,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES
196,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_OTHER_CIRCUMSTANCES
197,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY
198,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS
199,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED
200,raw_q41_NATURE_GRAVITY_DURATION_DATA_CATEGORIES_AFFECTED
201,raw_q41_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED
202,raw_q41_MISSING
203,raw_q41_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS
204,raw_q41_INTENT_NEGLIGENCE_OTHER_CIRCUMSTANCES_1
205,raw_q41_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_TECHNICAL_ORGANIZATIONAL_MEASURES
206,raw_q41_INTENT_NEGLIGENCE_MANNER_BECAME_KNOWN
207,raw_q41_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_OTHER_CIRCUMSTANCES
208,raw_q38_NUMBER
209,raw_q38_NOT_MENTIONED
210,raw_q38_NOT_DISCUSSED
211,raw_q38_1310563000
212,raw_q38_2177703000
213,raw_q38_2035000000
214,raw_q38_168251493
215,raw_q38_1600000000
216,raw_q38_1451967
217,raw_q38_1428000000
218,raw_q38_1091000000
219,raw_q47_POLICY_CHANGES_STAFF_TRAINING_EXTERNAL_AUDIT
220,raw_q38_107746223
221,raw_q38_102912000
222,raw_q38_10093659000
223,raw_q38_0
224,raw_q37_NUMBER_0_1
225,raw_q37_NUMBER_75000_1
226,raw_q38_2367061000
227,raw_q38_237000000
228,raw_q38_247757
229,raw_q38_2928817000
230,raw_q38_3000001
231,raw_q38_34816282
232,raw_q38_400000000
233,raw_q38_461000000
234,raw_q38_49848815
235,raw_q38_4992744
236,raw_q38_51631296
237,raw_q38_5201368
238,raw_q38_54000000000
239,raw_q38_64855216
240,raw_q38_698710610
241,raw_q38_902440
242,raw_q38_95578126
243,raw_q47_POLICY_CHANGES_STAFF_TRAINING
244,raw_q52_Fine_for_transparency_violation_2M_EUR_considers_severity_duration_negligence_high_data_volume_and_business_link_fine_for_legality_violation_4M_EUR_factors_in_nature_scope_responsibility_benefits_and_damages_total_6M_EUR_below_caps_no_mitigations_sufficient
245,raw_q47_POLICY_CHANGES_DPO_APPOINTMENT
246,raw_q52_No_fine_imposed_due_to_defendant_being_public_sector_body_only_warnings_and_compliance_order_issued
247,raw_q52_No_fine_imposed_due_to_mitigating_factors_serious_post_Schrems_II_analysis_extensive_measures_taken_IP_truncation_cookie_hashing_and_cooperation_Violation_deemed_serious_but_gap_in_legal_clarity_considered
248,raw_q52_No_fine_imposed_due_to_mitigating_factors_including_COVID_19_impact_and_remedial_steps_taken_reprimand_issued_with_compliance_order_requiring_improvement_within_six_months
249,raw_q52_No_fine_imposed_due_to_minor_violation_mitigating_factors_including_cooperation_and_remedial_actions_and_violations_occurring_far_back_in_time
250,raw_q52_No_fine_imposed_due_to_minor_nature_of_infringement_lack_of_recidivism_and_defendant_s_cooperation_warning_issued_instead_with_compliance_order_to_rectify_consent_mechanisms
251,raw_q52_No_fine_imposed_due_to_minor_infringement_affecting_one_person_occurred_far_back_in_time_human_error_factor_no_prior_infringements_and_remedial_actions_taken_reprimand_issued_instead
252,raw_q52_No_fine_imposed_due_to_minor_infringement_affecting_one_person_with_non_sensitive_data_no_prior_infringements_and_defendant_improved_information_and_cooperated
253,raw_q52_No_fine_imposed_due_to_defendant_being_a_minor_a_warning_was_issued_instead_considering_the_disproportionate_burden_a_fine_would_impose_along_with_an_order_to_cease_processing_without_legal_basis
254,raw_q52_Initial_proposed_fine_of_2000_reduced_by_40_to_1200_due_to_voluntary_payment_and_acknowledgment_of_liability_Fine_calculated_based_on_violation_of_Article_13_GDPR
255,raw_q52_No_fine_imposed_due_to_Spanish_law_prohibiting_fines_for_public_entities_violations_addressed_through_warnings_and_corrective_orders_including_risk_analysis_impact_assessment_and_compliance_audit_within_six_months
256,raw_q52_No_fine_imposed_as_this_is_a_non_binding_opinion_not_an_enforcement_decision
257,raw_q52_No_fine_imposed_as_no_GDPR_violation_was_found_case_archived_due_to_household_exemption_applicability
258,raw_q52_NOT_MENTIONED
259,raw_q52_NOT_DISCUSSED
260,raw_q52_MISSING
261,raw_q52_No_fine_imposed_due_to_public_sector_body_status_only_a_warning_issued_under_Article_77_2_LOPDGDD_considering_the_infringement_and_subsequent_corrective_measures_taken
262,raw_q52_No_fine_imposed_due_to_public_sector_status_under_Article_83_7_GDPR_and_LOPDGDD_Article_77_resulting_in_a_warning_instead_Sanction_graded_as_serious_infringement_under_LOPDGDD_Article_73_v_for_failing_to_appoint_DPO_Requirement_to_appoint_DPO_within_one_month
263,raw_q52_No_fine_imposed_due_to_public_sector_status_warning_issued_instead_Corrective_measures_ordered_to_implement_technical_organizational_measures_ensuring_confidentiality_including_using_internal_notice_boards_and_restricting_website_access_to_interested_parties_only
264,raw_q52_No_fine_imposed_due_to_qualified_decrease_in_guilt_under_Article_45_5_LOPD_Factors_included_absence_of_recidivism_no_damage_documented_and_lack_of_connection_between_defendant_s_activity_and_data_processing_A_warning_and_compliance_order_were_issued_instead
265,raw_q52_No_fine_imposed_due_to_remedial_actions_taken_MFA_implementation_contract_reviews_system_upgrades_and_consideration_of_breach_circumstances_though_security_failures_were_significant_aggravating_factors
266,raw_q52_No_fine_imposed_DPA_considered_defendant_s_cooperation_mitigation_efforts_and_external_factors_beyond_defendant_s_control_META_s_non_response_as_mitigating_factors_Violation_was_ongoing_but_partially_addressed
267,raw_q52_No_fine_imposed_a_reprimand_was_issued_due_to_the_public_sector_status_of_the_defendant_with_a_compliance_order_to_implement_information_legends_within_one_month
268,raw_q52_No_fine_imposed_a_warning_was_issued_instead_due_to_the_minor_nature_of_the_infringement_immediate_remedial_actions_taken_full_cooperation_and_no_prior_infringements_considering_it_a_slight_violation_under_Article_83_2_GDPR
269,raw_q52_No_fine_imposed_case_archived_due_to_lack_of_evidence_of_infringement_after_RAE_ceased_data_processing
270,raw_q52_No_fine_imposed_case_closed_without_action_due_to_oversight_reason_and_remedial_measures_taken
271,raw_q52_No_fine_imposed_case_filed_as_no_infringing_party_identified_and_content_removed
272,raw_q52_No_fine_imposed_case_filed_due_to_inability_to_identify_defendant_through_tax_identification_preventing_sanctioning_actions_despite_potential_infringements
273,raw_q52_No_fine_imposed_case_resolved_through_administrative_procedure_without_penalty_due_to_lack_of_response_and_cooperation_from_defendant
274,raw_q52_No_fine_imposed_corrective_measures_focused_on_compliance_orders_rather_than_financial_penalties_due_to_the_nature_of_the_violation_and_procedural_context
275,raw_q52_No_fine_imposed_only_a_warning_and_compliance_order_issued_for_failure_to_provide_adequate_privacy_policy_information_under_Article_13_GDPR
276,raw_q52_No_fine_imposed_only_corrective_measures_ordered
277,raw_q52_No_fine_imposed_only_reprimand_and_compliance_order_due_to_violation_of_consent_requirements_under_Article_7_GDPR
278,raw_q52_Initial_proposed_fine_was_10_000_for_Article_5_1_f_violation_Reduced_by_20_to_8_000_for_voluntary_payment_and_further_20_to_6_000_for_recognition_of_responsibility_No_fine_for_Article_32_violation_only_warning
279,raw_q52_Initial_proposed_fine_of_2000_reduced_by_20_for_voluntary_payment_and_another_20_for_acknowledgment_of_responsibility_resulting_in_1200_final_fine_aggravating_factors_included_nature_gravity_and_negligence_mitigating_factors_included_cooperation_and_corrective_actions
280,raw_q52_No_fine_imposed_provisional_measures_ordered_to_suspend_processing_due_to_imminent_GDPR_violations_and_risks_to_data_subjects_rights
281,raw_q52_Fines_were_imposed_for_violations_of_Articles_6_17_and_28_GDPR_totaling_300_000_The_violations_were_considered_negligent_and_continuous_with_aggravating_factors_including_the_nature_and_duration_of_the_infringements_and_the_defendant_s_professional_activity_involving_personal_data_processing
282,raw_q52_Initial_fine_of_3000_reduced_by_40_to_1800_due_to_voluntary_payment_and_acknowledgment_of_responsibility_under_Article_85_LPACAP
283,raw_q52_Initial_fine_of_200_000_reduced_by_40_to_120_000_due_to_voluntary_payment_and_acknowledgment_of_liability_aggravating_factors_included_severity_of_identity_forgery_and_previous_infringements_while_mitigation_included_cooperation_and_remedial_actions
284,raw_q52_Initial_fine_of_1000_reduced_by_20_for_responsibility_recognition_and_another_20_for_voluntary_payment_resulting_in_600_Cooperation_and_acknowledgment_considered_mitigating
285,raw_q52_Initial_fine_of_100_000_reduced_by_40_to_60_000_due_to_acknowledgment_of_liability_and_voluntary_payment_factors_included_nature_of_breach_data_categories_affected_and_cooperation
286,raw_q52_Infringements_deemed_minor_reprimand_issued_instead_of_fine_due_to_improvements_made_cooperation_and_no_previous_infringements
287,raw_q52_Fines_were_set_at_50_000_for_Article_5_1_f_violation_and_20_000_for_Article_32_1_violation_considering_the_gravity_negligence_and_the_defendant_s_large_scale_No_reductions_applied_due_to_late_responsibility_recognition
288,raw_q52_Fines_were_imposed_for_specific_violations_of_Articles_12_and_15_totaling_11_000_EUR_with_corrective_measures_ordered_to_ensure_compliance_with_data_subject_access_rights
289,raw_q52_Initial_fines_set_at_50_000_for_Article_5_1_f_violation_and_30_000_for_Article_32_violation_totaling_80_000_Reduced_by_20_for_voluntary_payment_and_20_for_acknowledgment_of_responsibility_resulting_in_a_final_fine_of_48_000_Aggravating_factors_included_nature_gravity_duration_and_lack_of_adequate_measures_mitigating_factors_included_cooperation_and_remediation
290,raw_q52_Fines_were_calculated_based_on_negligence_entity_size_and_link_to_data_processing_activities_with_aggravating_factors_outweighing_mitigating_ones
